Time,$/MWh
2019-12-01 00:00:00,24.36
2019-12-01 00:05:00,24.49
2019-12-01 00:10:00,24.49
2019-12-01 00:15:00,24.49
2019-12-01 00:20:00,25.94
2019-12-01 00:25:00,25.94
2019-12-01 00:30:00,27.01
2019-12-01 00:35:00,27.01
2019-12-01 00:40:00,28.88
2019-12-01 00:45:00,28.88
2019-12-01 00:50:00,25.93
2019-12-01 00:55:00,25.93
2019-12-01 01:00:00,25.93
2019-12-01 01:05:00,30.66
2019-12-01 01:10:00,30.66
2019-12-01 01:15:00,30.66
2019-12-01 01:20:00,30.66
2019-12-01 01:25:00,24.82
2019-12-01 01:30:00,24.82
2019-12-01 01:35:00,25.75
2019-12-01 01:40:00,25.75
2019-12-01 01:45:00,25.66
2019-12-01 01:50:00,25.66
2019-12-01 01:55:00,25.23
2019-12-01 02:00:00,25.23
2019-12-01 02:05:00,22.0
2019-12-01 02:10:00,22.0
2019-12-01 02:15:00,22.0
2019-12-01 02:20:00,24.95
2019-12-01 02:25:00,24.95
2019-12-01 02:30:00,24.95
2019-12-01 02:35:00,27.97
2019-12-01 02:40:00,27.97
2019-12-01 02:45:00,27.97
2019-12-01 02:50:00,25.05
2019-12-01 02:55:00,25.05
2019-12-01 03:00:00,25.05
2019-12-01 03:05:00,25.05
2019-12-01 03:10:00,25.05
2019-12-01 03:15:00,25.05
2019-12-01 03:20:00,25.05
2019-12-01 03:25:00,24.94
2019-12-01 03:30:00,24.94
2019-12-01 03:35:00,24.94
2019-12-01 03:40:00,25.21
2019-12-01 03:45:00,24.95
2019-12-01 03:50:00,24.95
2019-12-01 03:55:00,24.95
2019-12-01 04:00:00,24.95
2019-12-01 04:05:00,24.67
2019-12-01 04:10:00,24.67
2019-12-01 04:15:00,24.7
2019-12-01 04:20:00,24.7
2019-12-01 04:25:00,24.7
2019-12-01 04:30:00,24.7
2019-12-01 04:35:00,25.19
2019-12-01 04:40:00,25.19
2019-12-01 04:45:00,24.83
2019-12-01 04:50:00,24.83
2019-12-01 04:55:00,24.83
2019-12-01 05:00:00,24.83
2019-12-01 05:05:00,25.41
2019-12-01 05:10:00,25.41
2019-12-01 05:15:00,25.41
2019-12-01 05:20:00,24.78
2019-12-01 05:25:00,24.78
2019-12-01 05:30:00,24.78
2019-12-01 05:35:00,25.26
2019-12-01 05:40:00,25.26
2019-12-01 05:45:00,25.26
2019-12-01 05:50:00,25.26
2019-12-01 05:55:00,25.26
2019-12-01 06:00:00,25.89
2019-12-01 06:05:00,25.89
2019-12-01 06:10:00,25.89
2019-12-01 06:15:00,28.78
2019-12-01 06:20:00,29.25
2019-12-01 06:25:00,29.25
2019-12-01 06:30:00,29.25
2019-12-01 06:35:00,29.26
2019-12-01 06:40:00,29.26
2019-12-01 06:45:00,27.02
2019-12-01 06:50:00,29.2
2019-12-01 06:55:00,29.2
2019-12-01 07:00:00,29.2
2019-12-01 07:05:00,24.73
2019-12-01 07:10:00,24.7
2019-12-01 07:15:00,24.7
