Time,$/MWh
2019-10-29 00:00:00,18.43
2019-10-29 00:05:00,18.39
2019-10-29 00:10:00,18.39
2019-10-29 00:15:00,18.3
2019-10-29 00:20:00,18.3
2019-10-29 00:25:00,18.3
2019-10-29 00:30:00,17.0
2019-10-29 00:35:00,17.11
2019-10-29 00:40:00,17.11
2019-10-29 00:45:00,16.25
2019-10-29 00:50:00,16.25
2019-10-29 00:55:00,16.25
2019-10-29 01:00:00,16.25
2019-10-29 01:05:00,15.99
2019-10-29 01:10:00,15.99
2019-10-29 01:15:00,16.22
2019-10-29 01:20:00,16.4
2019-10-29 01:25:00,16.4
2019-10-29 01:30:00,15.72
2019-10-29 01:35:00,15.72
2019-10-29 01:40:00,15.72
2019-10-29 01:45:00,12.22
2019-10-29 01:50:00,12.23
2019-10-29 01:55:00,12.23
2019-10-29 02:00:00,13.85
2019-10-29 02:05:00,12.23
2019-10-29 02:10:00,12.23
2019-10-29 02:15:00,12.09
2019-10-29 02:20:00,12.09
2019-10-29 02:25:00,12.09
2019-10-29 02:30:00,12.09
2019-10-29 02:35:00,13.54
2019-10-29 02:40:00,13.54
2019-10-29 02:45:00,13.54
2019-10-29 02:50:00,13.54
2019-10-29 02:55:00,14.05
2019-10-29 03:00:00,14.05
2019-10-29 03:05:00,14.05
2019-10-29 03:10:00,14.15
2019-10-29 03:15:00,14.15
2019-10-29 03:20:00,14.15
2019-10-29 03:25:00,14.05
2019-10-29 03:30:00,13.34
2019-10-29 03:35:00,13.45
2019-10-29 03:40:00,13.45
2019-10-29 03:45:00,13.45
2019-10-29 03:50:00,13.85
2019-10-29 03:55:00,15.04
2019-10-29 04:00:00,15.04
2019-10-29 04:05:00,16.58
2019-10-29 04:10:00,16.58
2019-10-29 04:15:00,17.01
2019-10-29 04:20:00,17.01
2019-10-29 04:25:00,17.01
2019-10-29 04:30:00,16.57
2019-10-29 04:35:00,17.18
2019-10-29 04:40:00,17.18
2019-10-29 04:45:00,17.15
2019-10-29 04:50:00,18.77
2019-10-29 04:55:00,21.67
2019-10-29 05:00:00,21.67
2019-10-29 05:05:00,15.19
2019-10-29 05:10:00,16.53
2019-10-29 05:15:00,17.12
2019-10-29 05:20:00,16.77
2019-10-29 05:25:00,17.26
2019-10-29 05:30:00,17.65
2019-10-29 05:35:00,22.82
2019-10-29 05:40:00,22.82
2019-10-29 05:45:00,30.66
2019-10-29 05:50:00,41.69
2019-10-29 05:55:00,41.69
2019-10-29 06:00:00,18.64
2019-10-29 06:05:00,22.88
2019-10-29 06:10:00,18.04
2019-10-29 06:15:00,18.65
2019-10-29 06:20:00,18.74
2019-10-29 06:25:00,18.76
2019-10-29 06:30:00,18.76
2019-10-29 06:35:00,21.11
2019-10-29 06:40:00,21.11
2019-10-29 06:45:00,21.15
2019-10-29 06:50:00,21.15
2019-10-29 06:55:00,24.45
2019-10-29 07:00:00,24.45
2019-10-29 07:05:00,22.99
2019-10-29 07:10:00,18.78
