C,Five-Minute Final Locational Marginal Prices
C,Filename: lmp_rt_final_4437_20201022_20201028.csv
C,Report generated 2021-01-23 03:02:24 EST
H,Location ID,Local Time,Energy Component,Congestion Component,Loss Component,LMP
H,Label,Time,$/MWh,$/MWh,$/MWh,$/MWh
D,4437,2020-10-22 00:00:00,17.66,0.04,-0.17,17.53
D,4437,2020-10-22 00:05:00,17.87,0.04,-0.18,17.73
D,4437,2020-10-22 00:10:00,17.87,0.04,-0.18,17.73
D,4437,2020-10-22 00:15:00,17.56,0.04,-0.21,17.39
D,4437,2020-10-22 00:20:00,17.56,0.04,-0.21,17.39
D,4437,2020-10-22 00:25:00,17.59,0.04,-0.21,17.42
D,4437,2020-10-22 00:30:00,18.13,0.06,-0.19,18.0
D,4437,2020-10-22 00:35:00,17.81,0.06,-0.17,17.7
D,4437,2020-10-22 00:40:00,17.81,0.06,-0.17,17.7
D,4437,2020-10-22 00:45:00,17.81,0.06,-0.17,17.7
D,4437,2020-10-22 00:50:00,13.91,3.62,-0.12,17.41
D,4437,2020-10-22 00:55:00,12.76,4.39,-0.12,17.03
D,4437,2020-10-22 01:00:00,12.76,4.39,-0.12,17.03
D,4437,2020-10-22 01:05:00,17.54,0.06,-0.16,17.44
D,4437,2020-10-22 01:10:00,17.54,0.06,-0.16,17.44
D,4437,2020-10-22 01:15:00,17.05,0.06,-0.09,17.02
D,4437,2020-10-22 01:20:00,17.05,0.06,-0.09,17.02
D,4437,2020-10-22 01:25:00,15.7,0.06,-0.06,15.7
D,4437,2020-10-22 01:30:00,15.7,0.06,-0.06,15.7
D,4437,2020-10-22 01:35:00,16.82,0.06,-0.07,16.81
D,4437,2020-10-22 01:40:00,16.82,0.06,-0.07,16.81
D,4437,2020-10-22 01:45:00,16.82,0.06,-0.07,16.81
D,4437,2020-10-22 01:50:00,16.84,0.06,-0.11,16.79
D,4437,2020-10-22 01:55:00,17.11,0.04,-0.11,17.04
D,4437,2020-10-22 02:00:00,17.41,0.06,-0.18,17.29
D,4437,2020-10-22 02:05:00,17.41,0.06,-0.18,17.29
D,4437,2020-10-22 02:10:00,17.41,0.06,-0.18,17.29
D,4437,2020-10-22 02:15:00,17.41,0.06,-0.18,17.29
D,4437,2020-10-22 02:20:00,17.02,0.06,-0.12,16.96
D,4437,2020-10-22 02:25:00,16.94,0.06,-0.1,16.9
D,4437,2020-10-22 02:30:00,16.94,0.06,-0.1,16.9
D,4437,2020-10-22 02:35:00,16.86,0.06,-0.08,16.84
D,4437,2020-10-22 02:40:00,16.83,0.06,-0.08,16.81
D,4437,2020-10-22 02:45:00,16.79,0.06,-0.08,16.77
D,4437,2020-10-22 02:50:00,16.79,0.06,-0.08,16.77
D,4437,2020-10-22 02:55:00,16.62,0.06,-0.08,16.6
D,4437,2020-10-22 03:00:00,16.62,0.06,-0.08,16.6
D,4437,2020-10-22 03:05:00,15.72,0.06,-0.06,15.72
D,4437,2020-10-22 03:10:00,15.72,0.06,-0.06,15.72
D,4437,2020-10-22 03:15:00,15.72,0.06,-0.06,15.72
D,4437,2020-10-22 03:20:00,15.72,0.06,-0.06,15.72
D,4437,2020-10-22 03:25:00,16.85,0.06,-0.08,16.83
D,4437,2020-10-22 03:30:00,16.85,0.06,-0.08,16.83
D,4437,2020-10-22 03:35:00,15.73,0.06,-0.07,15.72
D,4437,2020-10-22 03:40:00,15.76,0.01,-0.08,15.69
D,4437,2020-10-22 03:45:00,16.84,0.01,-0.08,16.77
D,4437,2020-10-22 03:50:00,16.84,0.01,-0.08,16.77
D,4437,2020-10-22 03:55:00,16.84,0.01,-0.08,16.77
D,4437,2020-10-22 04:00:00,16.84,0.01,-0.08,16.77
D,4437,2020-10-22 04:05:00,16.69,0.0,-0.08,16.61
D,4437,2020-10-22 04:10:00,16.69,0.0,-0.07,16.62
D,4437,2020-10-22 04:15:00,16.69,0.0,-0.08,16.61
D,4437,2020-10-22 04:20:00,16.69,0.0,-0.08,16.61
D,4437,2020-10-22 04:25:00,16.69,0.0,-0.08,16.61
D,4437,2020-10-22 04:30:00,16.48,0.21,-0.08,16.61
D,4437,2020-10-22 04:35:00,16.48,0.21,-0.08,16.61
D,4437,2020-10-22 04:40:00,16.42,0.28,-0.08,16.62
D,4437,2020-10-22 04:45:00,16.62,0.28,-0.1,16.8
D,4437,2020-10-22 04:50:00,16.62,0.28,-0.1,16.8
D,4437,2020-10-22 04:55:00,16.48,0.21,-0.13,16.56
D,4437,2020-10-22 05:00:00,16.67,0.0,-0.15,16.52
D,4437,2020-10-22 05:05:00,16.67,0.0,-0.15,16.52
D,4437,2020-10-22 05:10:00,16.67,0.0,-0.15,16.52
D,4437,2020-10-22 05:15:00,16.67,0.0,-0.15,16.52
D,4437,2020-10-22 05:20:00,17.55,0.0,-0.18,17.37
D,4437,2020-10-22 05:25:00,16.77,0.0,-0.12,16.65
D,4437,2020-10-22 05:30:00,16.77,0.0,-0.12,16.65
D,4437,2020-10-22 05:35:00,16.9,0.0,-0.15,16.75
D,4437,2020-10-22 05:40:00,17.05,0.0,-0.13,16.92
D,4437,2020-10-22 05:45:00,17.34,0.0,-0.16,17.18
D,4437,2020-10-22 05:50:00,17.34,0.0,-0.16,17.18
D,4437,2020-10-22 05:55:00,17.76,0.0,-0.19,17.57
D,4437,2020-10-22 06:00:00,17.76,0.0,-0.19,17.57
D,4437,2020-10-22 06:05:00,17.43,0.0,-0.18,17.25
D,4437,2020-10-22 06:10:00,17.43,0.0,-0.18,17.25
D,4437,2020-10-22 06:15:00,17.77,0.0,-0.16,17.61
D,4437,2020-10-22 06:20:00,17.77,0.0,-0.16,17.61
D,4437,2020-10-22 06:25:00,17.77,0.0,-0.16,17.61
D,4437,2020-10-22 06:30:00,18.92,0.0,-0.22,18.7
D,4437,2020-10-22 06:35:00,18.51,0.0,-0.22,18.29
D,4437,2020-10-22 06:40:00,18.9,0.0,-0.23,18.67
D,4437,2020-10-22 06:45:00,18.91,0.0,-0.22,18.69
D,4437,2020-10-22 06:50:00,18.91,0.0,-0.22,18.69
D,4437,2020-10-22 06:55:00,18.91,0.0,-0.22,18.69
D,4437,2020-10-22 07:00:00,18.91,0.0,-0.22,18.69
D,4437,2020-10-22 07:05:00,18.98,0.0,-0.23,18.75
D,4437,2020-10-22 07:10:00,19.73,0.0,-0.23,19.5
D,4437,2020-10-22 07:15:00,19.73,0.0,-0.23,19.5
D,4437,2020-10-22 07:20:00,20.49,0.0,-0.25,20.24
D,4437,2020-10-22 07:25:00,20.49,0.0,-0.25,20.24
D,4437,2020-10-22 07:30:00,20.49,0.0,-0.25,20.24
D,4437,2020-10-22 07:35:00,20.42,0.0,-0.29,20.13
D,4437,2020-10-22 07:40:00,20.42,0.0,-0.29,20.13
D,4437,2020-10-22 07:45:00,20.42,0.0,-0.29,20.13
D,4437,2020-10-22 07:50:00,20.12,0.0,-0.29,19.83
D,4437,2020-10-22 07:55:00,20.12,0.0,-0.29,19.83
D,4437,2020-10-22 08:00:00,20.12,0.0,-0.29,19.83
D,4437,2020-10-22 08:05:00,20.12,0.0,-0.29,19.83
D,4437,2020-10-22 08:10:00,20.2,0.0,-0.26,19.94
D,4437,2020-10-22 08:15:00,20.2,0.0,-0.26,19.94
D,4437,2020-10-22 08:20:00,21.52,0.0,-0.24,21.28
D,4437,2020-10-22 08:25:00,21.52,0.0,-0.24,21.28
D,4437,2020-10-22 08:30:00,21.52,0.0,-0.24,21.28
D,4437,2020-10-22 08:35:00,22.25,0.0,-0.19,22.06
D,4437,2020-10-22 08:40:00,21.57,0.0,-0.22,21.35
D,4437,2020-10-22 08:45:00,21.6,0.0,-0.22,21.38
D,4437,2020-10-22 08:50:00,21.6,0.0,-0.22,21.38
D,4437,2020-10-22 08:55:00,21.88,0.0,-0.2,21.68
D,4437,2020-10-22 09:00:00,21.88,0.0,-0.2,21.68
D,4437,2020-10-22 09:05:00,22.26,0.0,-0.19,22.07
D,4437,2020-10-22 09:10:00,22.26,0.0,-0.19,22.07
D,4437,2020-10-22 09:15:00,22.26,0.0,-0.19,22.07
D,4437,2020-10-22 09:20:00,20.25,0.0,-0.14,20.11
D,4437,2020-10-22 09:25:00,20.25,0.0,-0.14,20.11
D,4437,2020-10-22 09:30:00,20.52,0.0,-0.18,20.34
D,4437,2020-10-22 09:35:00,20.66,0.0,-0.2,20.46
D,4437,2020-10-22 09:40:00,20.66,0.0,-0.2,20.46
D,4437,2020-10-22 09:45:00,20.66,0.0,-0.2,20.46
D,4437,2020-10-22 09:50:00,19.82,0.0,-0.13,19.69
D,4437,2020-10-22 09:55:00,19.82,0.0,-0.13,19.69
D,4437,2020-10-22 10:00:00,19.82,0.0,-0.13,19.69
D,4437,2020-10-22 10:05:00,19.46,0.0,-0.14,19.32
D,4437,2020-10-22 10:10:00,19.46,0.0,-0.14,19.32
D,4437,2020-10-22 10:15:00,19.47,0.0,-0.16,19.31
D,4437,2020-10-22 10:20:00,19.47,0.0,-0.16,19.31
D,4437,2020-10-22 10:25:00,19.47,0.0,-0.16,19.31
D,4437,2020-10-22 10:30:00,19.47,0.0,-0.16,19.31
D,4437,2020-10-22 10:35:00,21.57,0.0,-0.16,21.41
D,4437,2020-10-22 10:40:00,21.57,0.0,-0.16,21.41
D,4437,2020-10-22 10:45:00,22.49,0.0,-0.14,22.35
D,4437,2020-10-22 10:50:00,22.49,0.0,-0.14,22.35
D,4437,2020-10-22 10:55:00,22.49,0.0,-0.14,22.35
