Time,$/MWh
2019-10-01 00:00:00,14.63
2019-10-01 00:05:00,17.59
2019-10-01 00:10:00,17.59
2019-10-01 00:15:00,17.59
2019-10-01 00:20:00,15.39
2019-10-01 00:25:00,18.33
2019-10-01 00:30:00,16.78
2019-10-01 00:35:00,16.44
2019-10-01 00:40:00,16.44
2019-10-01 00:45:00,16.44
2019-10-01 00:50:00,16.46
2019-10-01 00:55:00,16.46
2019-10-01 01:00:00,16.46
2019-10-01 01:05:00,18.26
2019-10-01 01:10:00,18.46
2019-10-01 01:15:00,18.46
2019-10-01 01:20:00,18.3
2019-10-01 01:25:00,18.3
2019-10-01 01:30:00,18.3
2019-10-01 01:35:00,18.07
2019-10-01 01:40:00,18.07
2019-10-01 01:45:00,16.5
2019-10-01 01:50:00,16.5
2019-10-01 01:55:00,16.5
2019-10-01 02:00:00,15.74
2019-10-01 02:05:00,16.29
2019-10-01 02:10:00,16.29
2019-10-01 02:15:00,15.62
2019-10-01 02:20:00,15.62
2019-10-01 02:25:00,15.62
2019-10-01 02:30:00,15.48
2019-10-01 02:35:00,15.48
2019-10-01 02:40:00,15.48
2019-10-01 02:45:00,15.46
2019-10-01 02:50:00,15.46
2019-10-01 02:55:00,15.46
2019-10-01 03:00:00,15.46
2019-10-01 03:05:00,15.45
2019-10-01 03:10:00,15.45
2019-10-01 03:15:00,15.45
2019-10-01 03:20:00,15.46
2019-10-01 03:25:00,15.46
2019-10-01 03:30:00,15.46
2019-10-01 03:35:00,15.45
2019-10-01 03:40:00,15.45
2019-10-01 03:45:00,15.45
2019-10-01 03:50:00,15.44
2019-10-01 03:55:00,15.44
2019-10-01 04:00:00,15.45
2019-10-01 04:05:00,15.45
2019-10-01 04:10:00,15.45
2019-10-01 04:15:00,15.45
2019-10-01 04:20:00,17.52
2019-10-01 04:25:00,17.52
2019-10-01 04:30:00,17.52
2019-10-01 04:35:00,18.07
2019-10-01 04:40:00,18.07
2019-10-01 04:45:00,18.07
2019-10-01 04:50:00,18.56
2019-10-01 04:55:00,18.56
2019-10-01 05:00:00,18.56
2019-10-01 05:05:00,18.37
2019-10-01 05:10:00,18.59
2019-10-01 05:15:00,19.05
2019-10-01 05:20:00,21.21
2019-10-01 05:25:00,29.19
2019-10-01 05:30:00,29.29
2019-10-01 05:35:00,29.29
2019-10-01 05:40:00,29.29
2019-10-01 05:45:00,29.29
2019-10-01 05:50:00,29.41
2019-10-01 05:55:00,29.41
2019-10-01 06:00:00,20.52
2019-10-01 06:05:00,17.65
2019-10-01 06:10:00,26.64
2019-10-01 06:15:00,29.92
2019-10-01 06:20:00,32.59
2019-10-01 06:25:00,56.56
2019-10-01 06:30:00,56.56
2019-10-01 06:35:00,34.42
2019-10-01 06:40:00,29.89
2019-10-01 06:45:00,32.87
2019-10-01 06:50:00,33.92
2019-10-01 06:55:00,33.92
2019-10-01 07:00:00,33.94
2019-10-01 07:05:00,33.94
2019-10-01 07:10:00,33.94
2019-10-01 07:15:00,33.94
2019-10-01 07:20:00,29.85
2019-10-01 07:25:00,29.85
2019-10-01 07:30:00,28.71
2019-10-01 07:35:00,27.65
2019-10-01 07:40:00,28.29
2019-10-01 07:45:00,26.16
2019-10-01 07:50:00,26.16
2019-10-01 07:55:00,26.16
2019-10-01 08:00:00,28.87
2019-10-01 08:05:00,28.87
2019-10-01 08:10:00,27.64
2019-10-01 08:15:00,27.64
2019-10-01 08:20:00,29.9
2019-10-01 08:25:00,29.85
2019-10-01 08:30:00,29.85
2019-10-01 08:35:00,29.81
2019-10-01 08:40:00,32.9
2019-10-01 08:45:00,29.8
2019-10-01 08:50:00,30.93
2019-10-01 08:55:00,30.93
2019-10-01 09:00:00,31.34
2019-10-01 09:05:00,29.81
2019-10-01 09:10:00,31.37
2019-10-01 09:15:00,31.37
2019-10-01 09:20:00,31.47
2019-10-01 09:25:00,31.47
2019-10-01 09:30:00,32.92
2019-10-01 09:35:00,32.92
2019-10-01 09:40:00,29.79
2019-10-01 09:45:00,29.79
2019-10-01 09:50:00,29.77
2019-10-01 09:55:00,29.77
2019-10-01 10:00:00,29.77
2019-10-01 10:05:00,29.84
2019-10-01 10:10:00,28.75
2019-10-01 10:15:00,28.75
2019-10-01 10:20:00,29.84
2019-10-01 10:25:00,28.7
2019-10-01 10:30:00,28.65
2019-10-01 10:35:00,28.65
2019-10-01 10:40:00,28.66
2019-10-01 10:45:00,28.66
2019-10-01 10:50:00,27.29
2019-10-01 10:55:00,27.29
2019-10-01 11:00:00,28.64
2019-10-01 11:05:00,28.64
2019-10-01 11:10:00,28.64
2019-10-01 11:15:00,28.17
2019-10-01 11:20:00,28.63
2019-10-01 11:25:00,28.63
2019-10-01 11:30:00,29.82
2019-10-01 11:35:00,29.66
2019-10-01 11:40:00,28.66
2019-10-01 11:45:00,28.66
2019-10-01 11:50:00,28.66
2019-10-01 11:55:00,28.66
2019-10-01 12:00:00,32.16
2019-10-01 12:05:00,32.26
2019-10-01 12:10:00,32.32
2019-10-01 12:15:00,32.1
2019-10-01 12:20:00,32.04
2019-10-01 12:25:00,29.76
2019-10-01 12:30:00,32.03
2019-10-01 12:35:00,32.91
2019-10-01 12:40:00,30.16
2019-10-01 12:45:00,28.7
2019-10-01 12:50:00,28.7
