"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"12/01/1999 00:00:00","CAPITL",61757,31.25,1.52,0.00
"12/01/1999 00:00:00","CENTRL",61754,29.19,-0.54,0.00
"12/01/1999 00:00:00","DUNWOD",61760,30.82,1.09,0.00
"12/01/1999 00:00:00","GENESE",61753,29.06,-0.67,0.00
"12/01/1999 00:00:00","H Q",61844,29.52,-0.21,0.00
"12/01/1999 00:00:00","HUD VL",61758,30.43,0.70,0.00
"12/01/1999 00:00:00","LONGIL",61762,31.43,1.70,0.00
"12/01/1999 00:00:00","MHK VL",61756,29.92,0.19,0.00
"12/01/1999 00:00:00","MILLWD",61759,30.40,0.67,0.00
"12/01/1999 00:00:00","N.Y.C.",61761,31.20,1.47,0.00
"12/01/1999 00:00:00","NORTH",61755,29.42,-0.31,0.00
"12/01/1999 00:00:00","NPX",61845,30.34,0.61,0.00
"12/01/1999 00:00:00","O H",61846,29.03,-0.70,0.00
"12/01/1999 00:00:00","PJM",61847,28.83,-0.90,0.00
"12/01/1999 00:00:00","WEST",61752,29.12,-0.61,0.00
"12/01/1999 00:01:42","CAPITL",61757,31.95,1.54,0.00
"12/01/1999 00:01:42","CENTRL",61754,29.86,-0.55,0.00
"12/01/1999 00:01:42","DUNWOD",61760,31.63,1.22,0.00
"12/01/1999 00:01:42","GENESE",61753,29.65,-0.76,0.00
"12/01/1999 00:01:42","H Q",61844,30.17,-0.24,0.00
"12/01/1999 00:01:42","HUD VL",61758,31.21,0.80,0.00
"12/01/1999 00:01:42","LONGIL",61762,32.20,1.79,0.00
"12/01/1999 00:01:42","MHK VL",61756,30.61,0.20,0.00
"12/01/1999 00:01:42","MILLWD",61759,31.19,0.78,0.00
"12/01/1999 00:01:42","N.Y.C.",61761,32.04,1.63,0.00
"12/01/1999 00:01:42","NORTH",61755,30.06,-0.35,0.00
"12/01/1999 00:01:42","NPX",61845,31.03,0.62,0.00
"12/01/1999 00:01:42","O H",61846,29.67,-0.74,0.00
"12/01/1999 00:01:42","PJM",61847,29.53,-0.88,0.00
"12/01/1999 00:01:42","WEST",61752,29.75,-0.66,0.00
"12/01/1999 00:03:12","CAPITL",61757,31.82,1.56,0.00
"12/01/1999 00:03:12","CENTRL",61754,29.71,-0.55,0.00
"12/01/1999 00:03:12","DUNWOD",61760,31.43,1.17,0.00
"12/01/1999 00:03:12","GENESE",61753,29.58,-0.68,0.00
"12/01/1999 00:03:12","H Q",61844,30.04,-0.22,0.00
"12/01/1999 00:03:12","HUD VL",61758,31.02,0.76,0.00
"12/01/1999 00:03:12","LONGIL",61762,32.00,1.74,0.00
"12/01/1999 00:03:12","MHK VL",61756,30.47,0.21,0.00
"12/01/1999 00:03:12","MILLWD",61759,31.00,0.74,0.00
"12/01/1999 00:03:12","N.Y.C.",61761,31.84,1.58,0.00
"12/01/1999 00:03:12","NORTH",61755,29.94,-0.32,0.00
"12/01/1999 00:03:12","NPX",61845,30.88,0.62,0.00
"12/01/1999 00:03:12","O H",61846,29.60,-0.66,0.00
"12/01/1999 00:03:12","PJM",61847,29.37,-0.89,0.00
"12/01/1999 00:03:12","WEST",61752,29.67,-0.59,0.00
"12/01/1999 00:08:12","CAPITL",61757,31.50,1.51,0.00
"12/01/1999 00:08:12","CENTRL",61754,29.44,-0.55,0.00
"12/01/1999 00:08:12","DUNWOD",61760,31.16,1.17,0.00
"12/01/1999 00:08:12","GENESE",61753,29.25,-0.74,0.00
"12/01/1999 00:08:12","H Q",61844,29.78,-0.21,0.00
"12/01/1999 00:08:12","HUD VL",61758,30.76,0.77,0.00
"12/01/1999 00:08:12","LONGIL",61762,31.74,1.75,0.00
"12/01/1999 00:08:12","MHK VL",61756,30.20,0.21,0.00
"12/01/1999 00:08:12","MILLWD",61759,30.74,0.75,0.00
"12/01/1999 00:08:12","N.Y.C.",61761,31.57,1.58,0.00
"12/01/1999 00:08:12","NORTH",61755,29.68,-0.31,0.00
"12/01/1999 00:08:12","NPX",61845,30.60,0.61,0.00
"12/01/1999 00:08:12","O H",61846,29.26,-0.73,0.00
"12/01/1999 00:08:12","PJM",61847,29.11,-0.88,0.00
"12/01/1999 00:08:12","WEST",61752,29.34,-0.65,0.00
"12/01/1999 00:09:42","CAPITL",61757,31.59,1.53,0.00
"12/01/1999 00:09:42","CENTRL",61754,29.50,-0.56,0.00
"12/01/1999 00:09:42","DUNWOD",61760,31.22,1.16,0.00
"12/01/1999 00:09:42","GENESE",61753,29.33,-0.73,0.00
"12/01/1999 00:09:42","H Q",61844,29.84,-0.22,0.00
"12/01/1999 00:09:42","HUD VL",61758,30.82,0.76,0.00
"12/01/1999 00:09:42","LONGIL",61762,31.79,1.73,0.00
"12/01/1999 00:09:42","MHK VL",61756,30.25,0.19,0.00
