"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"12/08/2002 00:00:00","CAPITL",61757,32.28,2.53,0.00
"12/08/2002 00:00:00","CENTRL",61754,28.83,-0.92,0.00
"12/08/2002 00:00:00","DUNWOD",61760,31.32,1.57,0.00
"12/08/2002 00:00:00","GENESE",61753,29.62,-0.13,0.00
"12/08/2002 00:00:00","H Q",61844,29.59,-0.16,0.00
"12/08/2002 00:00:00","HUD VL",61758,30.74,0.99,0.00
"12/08/2002 00:00:00","LONGIL",61762,31.41,1.66,0.00
"12/08/2002 00:00:00","MHK VL",61756,30.52,0.77,0.00
"12/08/2002 00:00:00","MILLWD",61759,30.85,1.10,0.00
"12/08/2002 00:00:00","N.Y.C.",61761,31.89,2.14,0.00
"12/08/2002 00:00:00","NORTH",61755,29.84,0.09,0.00
"12/08/2002 00:00:00","NPX",61845,31.71,1.96,0.00
"12/08/2002 00:00:00","O H",61846,24.30,-5.45,0.00
"12/08/2002 00:00:00","PJM",61847,27.14,-2.61,0.00
"12/08/2002 00:00:00","WEST",61752,26.84,-2.91,0.00
"12/08/2002 00:00:38","CAPITL",61757,87.30,7.45,0.00
"12/08/2002 00:00:38","CENTRL",61754,77.48,-2.37,0.00
"12/08/2002 00:00:38","DUNWOD",61760,83.87,4.02,0.00
"12/08/2002 00:00:38","GENESE",61753,79.58,-0.27,0.00
"12/08/2002 00:00:38","H Q",61844,79.31,-0.54,0.00
"12/08/2002 00:00:38","HUD VL",61758,82.39,2.54,0.00
"12/08/2002 00:00:38","LONGIL",61762,84.09,4.24,0.00
"12/08/2002 00:00:38","MHK VL",61756,81.97,2.12,0.00
"12/08/2002 00:00:38","MILLWD",61759,82.62,2.77,0.00
"12/08/2002 00:00:38","N.Y.C.",61761,85.38,5.53,0.00
"12/08/2002 00:00:38","NORTH",61755,79.99,0.14,0.00
"12/08/2002 00:00:38","NPX",61845,85.36,5.51,0.00
"12/08/2002 00:00:38","O H",61846,64.92,-14.93,0.00
"12/08/2002 00:00:38","PJM",61847,72.59,-7.26,0.00
"12/08/2002 00:00:38","WEST",61752,71.73,-8.12,0.00
"12/08/2002 00:02:08","CAPITL",61757,88.54,7.94,0.00
"12/08/2002 00:02:08","CENTRL",61754,78.06,-2.54,0.00
"12/08/2002 00:02:08","DUNWOD",61760,84.44,3.84,0.00
"12/08/2002 00:02:08","GENESE",61753,80.33,-0.27,0.00
"12/08/2002 00:02:08","H Q",61844,80.06,-0.54,0.00
"12/08/2002 00:02:08","HUD VL",61758,83.02,2.42,0.00
"12/08/2002 00:02:08","LONGIL",61762,84.64,4.04,0.00
"12/08/2002 00:02:08","MHK VL",61756,82.76,2.16,0.00
"12/08/2002 00:02:08","MILLWD",61759,83.20,2.60,0.00
"12/08/2002 00:02:08","N.Y.C.",61761,85.90,5.30,0.00
"12/08/2002 00:02:08","NORTH",61755,80.80,0.20,0.00
"12/08/2002 00:02:08","NPX",61845,86.61,6.01,0.00
"12/08/2002 00:02:08","O H",61846,65.32,-15.28,0.00
"12/08/2002 00:02:08","PJM",61847,73.04,-7.56,0.00
"12/08/2002 00:02:08","WEST",61752,72.04,-8.56,0.00
"12/08/2002 00:03:38","CAPITL",61757,89.77,8.10,0.00
"12/08/2002 00:03:38","CENTRL",61754,79.29,-2.38,0.00
"12/08/2002 00:03:38","DUNWOD",61760,85.43,3.76,0.00
"12/08/2002 00:03:38","GENESE",61753,81.57,-0.10,0.00
"12/08/2002 00:03:38","H Q",61844,81.14,-0.53,0.00
"12/08/2002 00:03:38","HUD VL",61758,84.00,2.33,0.00
"12/08/2002 00:03:38","LONGIL",61762,85.64,3.97,0.00
"12/08/2002 00:03:38","MHK VL",61756,83.81,2.14,0.00
"12/08/2002 00:03:38","MILLWD",61759,84.18,2.51,0.00
"12/08/2002 00:03:38","N.Y.C.",61761,86.92,5.25,0.00
"12/08/2002 00:03:38","NORTH",61755,81.88,0.21,0.00
"12/08/2002 00:03:38","NPX",61845,87.71,6.04,0.00
"12/08/2002 00:03:38","O H",61846,66.24,-15.43,0.00
"12/08/2002 00:03:38","PJM",61847,73.67,-8.00,0.00
"12/08/2002 00:03:38","WEST",61752,73.22,-8.45,0.00
"12/08/2002 00:07:08","CAPITL",61757,77.17,6.85,0.00
