Time Stamp,LBMP ($/MWHr)
2019-05-01 00:05:00,21.18
2019-05-01 00:10:00,21.23
2019-05-01 00:15:00,21.13
2019-05-01 00:20:00,18.68
2019-05-01 00:25:00,16.8
2019-05-01 00:30:00,18.83
2019-05-01 00:35:00,18.83
2019-05-01 00:40:00,16.77
2019-05-01 00:45:00,17.06
2019-05-01 00:50:00,17.08
2019-05-01 00:55:00,16.71
2019-05-01 01:00:00,21.19
2019-05-01 01:05:00,23.69
2019-05-01 01:10:00,22.6
2019-05-01 01:15:00,21.05
2019-05-01 01:20:00,18.73
2019-05-01 01:25:00,18.6
2019-05-01 01:30:00,18.7
2019-05-01 01:35:00,18.74
2019-05-01 01:40:00,25.8
2019-05-01 01:45:00,25.65
2019-05-01 01:50:00,22.53
2019-05-01 01:55:00,21.41
2019-05-01 02:00:00,21.17
2019-05-01 02:05:00,18.75
2019-05-01 02:10:00,18.82
2019-05-01 02:15:00,3.5
2019-05-01 02:20:00,2.33
2019-05-01 02:25:00,3.51
2019-05-01 02:30:00,3.52
2019-05-01 02:35:00,16.99
2019-05-01 02:40:00,15.92
2019-05-01 02:45:00,17.0
2019-05-01 02:50:00,15.95
2019-05-01 02:55:00,15.92
2019-05-01 03:00:00,16.01
2019-05-01 03:05:00,17.1
2019-05-01 03:10:00,17.08
2019-05-01 03:15:00,16.86
2019-05-01 03:20:00,3.56
2019-05-01 03:25:00,16.09
2019-05-01 03:30:00,3.56
2019-05-01 03:35:00,3.55
2019-05-01 03:40:00,3.55
2019-05-01 03:45:00,3.57
2019-05-01 03:50:00,2.35
2019-05-01 03:55:00,3.53
2019-05-01 04:00:00,2.35
2019-05-01 04:05:00,3.52
2019-05-01 04:10:00,3.55
2019-05-01 04:15:00,3.52
2019-05-01 04:20:00,2.33
2019-05-01 04:25:00,2.32
2019-05-01 04:30:00,2.33
2019-05-01 04:35:00,3.51
2019-05-01 04:40:00,3.53
2019-05-01 04:45:00,17.09
2019-05-01 04:50:00,17.08
2019-05-01 04:55:00,17.11
2019-05-01 05:00:00,17.07
2019-05-01 05:05:00,18.81
2019-05-01 05:10:00,18.82
2019-05-01 05:15:00,17.08
2019-05-01 05:20:00,17.08
2019-05-01 05:25:00,17.08
2019-05-01 05:30:00,17.08
2019-05-01 05:35:00,17.1
2019-05-01 05:40:00,17.1
2019-05-01 05:45:00,17.08
2019-05-01 05:50:00,21.41
2019-05-01 05:55:00,23.7
2019-05-01 06:00:00,1.18
2019-05-01 06:05:00,1.2
2019-05-01 06:10:00,22.62
2019-05-01 06:15:00,23.56
2019-05-01 06:20:00,28.01
2019-05-01 06:25:00,28.0
2019-05-01 06:30:00,28.0
2019-05-01 06:35:00,31.41
2019-05-01 06:40:00,34.47
2019-05-01 06:45:00,26.93
2019-05-01 06:50:00,25.83
2019-05-01 06:55:00,26.32
2019-05-01 07:00:00,25.63
2019-05-01 07:05:00,26.99
2019-05-01 07:10:00,26.67
2019-05-01 07:15:00,27.37
2019-05-01 07:20:00,29.94
2019-05-01 07:25:00,28.16
2019-05-01 07:30:00,27.53
2019-05-01 07:35:00,27.84
2019-05-01 07:40:00,28.52
2019-05-01 07:45:00,27.53
2019-05-01 07:50:00,28.79
2019-05-01 07:55:00,29.96
2019-05-01 08:00:00,26.91
2019-05-01 08:05:00,27.7
2019-05-01 08:10:00,29.49
2019-05-01 08:15:00,30.52
2019-05-01 08:20:00,28.26
2019-05-01 08:25:00,45.17
2019-05-01 08:30:00,30.49
2019-05-01 08:35:00,28.15
2019-05-01 08:40:00,55.62
2019-05-01 08:45:00,27.73
2019-05-01 08:50:00,25.21
2019-05-01 08:55:00,26.99
2019-05-01 09:00:00,30.51
2019-05-01 09:05:00,30.4
2019-05-01 09:10:00,30.42
2019-05-01 09:15:00,27.56
2019-05-01 09:20:00,26.94
2019-05-01 09:25:00,26.73
2019-05-01 09:30:00,26.14
2019-05-01 09:35:00,26.9
2019-05-01 09:40:00,27.61
2019-05-01 09:45:00,22.88
2019-05-01 09:50:00,24.91
2019-05-01 09:55:00,24.92
2019-05-01 10:00:00,34.95
2019-05-01 10:05:00,38.17
2019-05-01 10:10:00,37.45
2019-05-01 10:15:00,31.92
2019-05-01 10:20:00,34.96
2019-05-01 10:25:00,37.05
2019-05-01 10:30:00,37.12
2019-05-01 10:35:00,35.7
2019-05-01 10:40:00,35.7
2019-05-01 10:45:00,33.74
2019-05-01 10:50:00,31.33
2019-05-01 10:55:00,31.35
2019-05-01 11:00:00,26.87
2019-05-01 11:05:00,30.99
2019-05-01 11:10:00,31.25
2019-05-01 11:15:00,25.7
2019-05-01 11:20:00,32.3
2019-05-01 11:25:00,32.03
2019-05-01 11:30:00,38.21
2019-05-01 11:35:00,38.0
2019-05-01 11:40:00,26.7
2019-05-01 11:45:00,26.33
2019-05-01 11:50:00,29.98
2019-05-01 11:55:00,28.63
2019-05-01 12:00:00,32.37
2019-05-01 12:05:00,31.81
2019-05-01 12:10:00,31.8
2019-05-01 12:15:00,32.22
2019-05-01 12:20:00,32.32
2019-05-01 12:25:00,32.32
2019-05-01 12:30:00,32.33
2019-05-01 12:35:00,30.89
2019-05-01 12:40:00,29.96
2019-05-01 12:45:00,29.98
2019-05-01 12:50:00,23.31
2019-05-01 12:55:00,25.92
2019-05-01 13:00:00,30.78
2019-05-01 13:05:00,40.72
2019-05-01 13:10:00,35.85
2019-05-01 13:15:00,29.13
2019-05-01 13:20:00,26.28
2019-05-01 13:25:00,26.25
2019-05-01 13:30:00,26.18
2019-05-01 13:35:00,26.25
2019-05-01 13:40:00,24.96
2019-05-01 13:45:00,30.67
2019-05-01 13:50:00,34.73
2019-05-01 13:55:00,29.15
2019-05-01 14:00:00,29.21
2019-05-01 14:05:00,30.62
2019-05-01 14:10:00,28.89
2019-05-01 14:15:00,17.67
2019-05-01 14:20:00,25.54
2019-05-01 14:25:00,21.09
2019-05-01 14:30:00,17.64
2019-05-01 14:35:00,19.37
2019-05-01 14:40:00,16.8
2019-05-01 14:45:00,1.22
2019-05-01 14:50:00,1.22
2019-05-01 14:55:00,1.16
2019-05-01 15:00:00,16.76
2019-05-01 15:05:00,26.33
2019-05-01 15:10:00,21.41
2019-05-01 15:15:00,21.35
2019-05-01 15:20:00,19.47
2019-05-01 15:25:00,21.34
2019-05-01 15:30:00,19.46
2019-05-01 15:35:00,19.43
2019-05-01 15:40:00,21.04
2019-05-01 15:45:00,17.3
2019-05-01 15:50:00,16.7
2019-05-01 15:55:00,16.7
2019-05-01 16:00:00,16.59
2019-05-01 16:05:00,17.22
2019-05-01 16:10:00,17.24
2019-05-01 16:15:00,18.29
2019-05-01 16:20:00,18.88
2019-05-01 16:25:00,20.06
2019-05-01 16:30:00,18.89
2019-05-01 16:35:00,1.22
2019-05-01 16:40:00,22.64
2019-05-01 16:45:00,22.86
2019-05-01 16:50:00,26.88
2019-05-01 16:55:00,26.88
2019-05-01 17:00:00,34.16
2019-05-01 17:05:00,64.01
2019-05-01 17:10:00,56.76
2019-05-01 17:15:00,41.61
2019-05-01 17:20:00,38.01
2019-05-01 17:25:00,39.93
2019-05-01 17:30:00,36.49
2019-05-01 17:35:00,35.56
2019-05-01 17:40:00,36.75
2019-05-01 17:45:00,61.32
2019-05-01 17:50:00,50.29
2019-05-01 17:55:00,62.22
2019-05-01 18:00:00,36.67
2019-05-01 18:05:00,31.85
2019-05-01 18:10:00,40.97
2019-05-01 18:15:00,59.74
2019-05-01 18:20:00,61.01
2019-05-01 18:25:00,44.84
2019-05-01 18:30:00,30.01
2019-05-01 18:35:00,30.03
2019-05-01 18:40:00,31.82
2019-05-01 18:45:00,44.0
2019-05-01 18:50:00,142.14
2019-05-01 18:55:00,47.11
2019-05-01 19:00:00,25.01
2019-05-01 19:05:00,30.0
2019-05-01 19:10:00,33.85
2019-05-01 19:15:00,32.48
2019-05-01 19:20:00,31.71
2019-05-01 19:25:00,44.34
2019-05-01 19:30:00,36.43
2019-05-01 19:35:00,30.18
2019-05-01 19:40:00,57.01
2019-05-01 19:45:00,36.9
2019-05-01 19:50:00,30.3
2019-05-01 19:55:00,36.88
2019-05-01 20:00:00,34.05
2019-05-01 20:05:00,56.01
2019-05-01 20:10:00,61.66
2019-05-01 20:15:00,60.75
2019-05-01 20:20:00,61.73
2019-05-01 20:25:00,44.7
2019-05-01 20:30:00,35.06
2019-05-01 20:35:00,29.96
2019-05-01 20:40:00,22.01
2019-05-01 20:45:00,28.24
2019-05-01 20:50:00,30.27
2019-05-01 20:55:00,22.01
2019-05-01 21:00:00,25.6
2019-05-01 21:05:00,27.32
2019-05-01 21:10:00,28.07
2019-05-01 21:15:00,28.94
2019-05-01 21:20:00,31.48
2019-05-01 21:25:00,26.82
2019-05-01 21:30:00,25.7
2019-05-01 21:35:00,24.15
2019-05-01 21:40:00,24.01
2019-05-01 21:45:00,24.12
2019-05-01 21:50:00,25.43
2019-05-01 21:55:00,25.5
2019-05-01 22:00:00,26.19
2019-05-01 22:05:00,26.74
2019-05-01 22:10:00,26.91
2019-05-01 22:15:00,34.86
2019-05-01 22:20:00,28.75
2019-05-01 22:25:00,28.39
2019-05-01 22:30:00,28.81
2019-05-01 22:35:00,30.63
2019-05-01 22:40:00,26.2
2019-05-01 22:45:00,24.66
2019-05-01 22:50:00,21.98
2019-05-01 22:55:00,19.29
2019-05-01 23:00:00,26.36
2019-05-01 23:05:00,31.28
2019-05-01 23:10:00,28.68
2019-05-01 23:15:00,31.64
2019-05-01 23:20:00,25.04
2019-05-01 23:25:00,19.77
2019-05-01 23:30:00,19.79
2019-05-01 23:35:00,19.62
2019-05-01 23:40:00,17.05
2019-05-01 23:45:00,17.04
2019-05-01 23:50:00,16.21
2019-05-01 23:55:00,16.2
2019-05-02 00:00:00,17.15
2019-05-02 00:05:00,22.95
2019-05-02 00:10:00,20.22
2019-05-02 00:15:00,17.32
2019-05-02 00:20:00,18.01
2019-05-02 00:25:00,25.05
2019-05-02 00:30:00,22.89
2019-05-02 00:35:00,18.68
2019-05-02 00:40:00,24.96
2019-05-02 00:45:00,12.21
2019-05-02 00:50:00,12.22
2019-05-02 00:55:00,12.23
2019-05-02 01:00:00,17.13
2019-05-02 01:05:00,23.04
2019-05-02 01:10:00,19.41
2019-05-02 01:15:00,14.98
2019-05-02 01:20:00,16.55
2019-05-02 01:25:00,17.14
2019-05-02 01:30:00,16.49
2019-05-02 01:35:00,14.86
2019-05-02 01:40:00,14.86
2019-05-02 01:45:00,14.85
2019-05-02 01:50:00,15.83
2019-05-02 01:55:00,15.1
2019-05-02 02:00:00,17.13
2019-05-02 02:05:00,17.12
2019-05-02 02:10:00,17.1
2019-05-02 02:15:00,17.1
2019-05-02 02:20:00,17.05
2019-05-02 02:25:00,17.1
2019-05-02 02:30:00,16.93
2019-05-02 02:35:00,14.61
2019-05-02 02:40:00,16.4
2019-05-02 02:45:00,16.37
2019-05-02 02:50:00,16.37
2019-05-02 02:55:00,15.7
2019-05-02 03:00:00,16.38
2019-05-02 03:05:00,16.37
2019-05-02 03:10:00,16.37
2019-05-02 03:15:00,16.32
2019-05-02 03:20:00,16.91
2019-05-02 03:25:00,16.94
2019-05-02 03:30:00,16.35
2019-05-02 03:35:00,16.34
2019-05-02 03:40:00,16.98
2019-05-02 03:45:00,17.0
2019-05-02 03:50:00,16.89
2019-05-02 03:55:00,16.96
2019-05-02 04:00:00,16.86
2019-05-02 04:05:00,25.02
2019-05-02 04:10:00,18.04
2019-05-02 04:15:00,17.1
2019-05-02 04:20:00,17.09
2019-05-02 04:25:00,17.11
2019-05-02 04:30:00,17.09
2019-05-02 04:35:00,18.04
2019-05-02 04:40:00,18.02
2019-05-02 04:45:00,18.02
2019-05-02 04:50:00,18.23
2019-05-02 04:55:00,20.46
2019-05-02 05:00:00,17.1
2019-05-02 05:05:00,20.48
2019-05-02 05:10:00,20.52
2019-05-02 05:15:00,18.55
2019-05-02 05:20:00,18.7
2019-05-02 05:25:00,20.26
2019-05-02 05:30:00,18.53
2019-05-02 05:35:00,20.03
2019-05-02 05:40:00,20.29
2019-05-02 05:45:00,17.81
2019-05-02 05:50:00,18.68
2019-05-02 05:55:00,20.06
2019-05-02 06:00:00,18.23
2019-05-02 06:05:00,18.35
2019-05-02 06:10:00,18.68
2019-05-02 06:15:00,18.83
2019-05-02 06:20:00,22.91
2019-05-02 06:25:00,23.96
2019-05-02 06:30:00,23.98
2019-05-02 06:35:00,24.96
2019-05-02 06:40:00,25.01
2019-05-02 06:45:00,24.94
2019-05-02 06:50:00,23.96
2019-05-02 06:55:00,26.03
2019-05-02 07:00:00,26.67
2019-05-02 07:05:00,29.63
2019-05-02 07:10:00,30.25
2019-05-02 07:15:00,27.66
2019-05-02 07:20:00,26.94
2019-05-02 07:25:00,31.52
2019-05-02 07:30:00,30.56
2019-05-02 07:35:00,29.77
2019-05-02 07:40:00,28.76
2019-05-02 07:45:00,27.01
2019-05-02 07:50:00,25.68
2019-05-02 07:55:00,26.38
2019-05-02 08:00:00,25.59
2019-05-02 08:05:00,25.43
