Time Stamp,LBMP ($/MWHr)
2019-07-01 00:05:00,27.85
2019-07-01 00:10:00,27.85
2019-07-01 00:15:00,23.55
2019-07-01 00:20:00,19.13
2019-07-01 00:25:00,19.13
2019-07-01 00:30:00,21.56
2019-07-01 00:35:00,26.5
2019-07-01 00:40:00,26.46
2019-07-01 00:45:00,26.42
2019-07-01 00:50:00,19.13
2019-07-01 00:55:00,19.89
2019-07-01 01:00:00,20.67
2019-07-01 01:05:00,21.53
2019-07-01 01:10:00,20.64
2019-07-01 01:15:00,20.66
2019-07-01 01:20:00,20.66
2019-07-01 01:25:00,20.66
2019-07-01 01:30:00,26.56
2019-07-01 01:35:00,23.08
2019-07-01 01:40:00,24.68
2019-07-01 01:45:00,24.55
2019-07-01 01:50:00,23.74
2019-07-01 01:55:00,23.86
2019-07-01 02:00:00,22.06
2019-07-01 02:05:00,23.04
2019-07-01 02:10:00,16.39
2019-07-01 02:15:00,20.67
2019-07-01 02:20:00,20.46
2019-07-01 02:25:00,20.67
2019-07-01 02:30:00,21.05
2019-07-01 02:35:00,32.92
2019-07-01 02:40:00,22.04
2019-07-01 02:45:00,21.56
2019-07-01 02:50:00,21.54
2019-07-01 02:55:00,21.03
2019-07-01 03:00:00,20.55
2019-07-01 03:05:00,20.44
2019-07-01 03:10:00,20.22
2019-07-01 03:15:00,20.25
2019-07-01 03:20:00,20.25
2019-07-01 03:25:00,20.25
2019-07-01 03:30:00,20.25
2019-07-01 03:35:00,20.25
2019-07-01 03:40:00,20.24
2019-07-01 03:45:00,20.23
2019-07-01 03:50:00,20.24
2019-07-01 03:55:00,20.23
2019-07-01 04:00:00,16.27
2019-07-01 04:05:00,20.26
2019-07-01 04:10:00,20.08
2019-07-01 04:15:00,21.12
2019-07-01 04:20:00,21.07
2019-07-01 04:25:00,21.09
2019-07-01 04:30:00,19.44
2019-07-01 04:35:00,16.33
2019-07-01 04:40:00,19.54
2019-07-01 04:45:00,19.27
2019-07-01 04:50:00,20.26
2019-07-01 04:55:00,20.26
2019-07-01 05:00:00,16.25
2019-07-01 05:05:00,20.26
2019-07-01 05:10:00,20.25
2019-07-01 05:15:00,16.09
2019-07-01 05:20:00,19.19
2019-07-01 05:25:00,19.19
2019-07-01 05:30:00,16.81
2019-07-01 05:35:00,20.26
2019-07-01 05:40:00,20.26
2019-07-01 05:45:00,19.75
2019-07-01 05:50:00,20.24
2019-07-01 05:55:00,26.46
2019-07-01 06:00:00,-539.7
2019-07-01 06:05:00,1.21
2019-07-01 06:10:00,19.18
2019-07-01 06:15:00,2.38
2019-07-01 06:20:00,11.38
2019-07-01 06:25:00,17.26
2019-07-01 06:30:00,20.46
2019-07-01 06:35:00,20.67
2019-07-01 06:40:00,21.51
2019-07-01 06:45:00,20.67
2019-07-01 06:50:00,20.67
2019-07-01 06:55:00,19.58
2019-07-01 07:00:00,12.39
2019-07-01 07:05:00,11.47
2019-07-01 07:10:00,12.43
2019-07-01 07:15:00,13.97
2019-07-01 07:20:00,17.03
2019-07-01 07:25:00,14.35
2019-07-01 07:30:00,4.84
2019-07-01 07:35:00,19.49
2019-07-01 07:40:00,17.43
2019-07-01 07:45:00,3.57
2019-07-01 07:50:00,20.58
2019-07-01 07:55:00,19.96
2019-07-01 08:00:00,19.38
2019-07-01 08:05:00,17.18
2019-07-01 08:10:00,19.37
2019-07-01 08:15:00,19.34
2019-07-01 08:20:00,19.48
2019-07-01 08:25:00,19.64
2019-07-01 08:30:00,19.9
2019-07-01 08:35:00,19.96
2019-07-01 08:40:00,19.97
2019-07-01 08:45:00,19.91
2019-07-01 08:50:00,19.46
2019-07-01 08:55:00,20.09
2019-07-01 09:00:00,19.82
2019-07-01 09:05:00,19.55
2019-07-01 09:10:00,19.69
2019-07-01 09:15:00,19.51
2019-07-01 09:20:00,19.85
2019-07-01 09:25:00,20.33
2019-07-01 09:30:00,20.36
2019-07-01 09:35:00,20.35
2019-07-01 09:40:00,20.32
2019-07-01 09:45:00,20.9
2019-07-01 09:50:00,22.09
2019-07-01 09:55:00,22.17
2019-07-01 10:00:00,21.88
2019-07-01 10:05:00,21.78
2019-07-01 10:10:00,19.85
2019-07-01 10:15:00,21.97
2019-07-01 10:20:00,21.73
2019-07-01 10:25:00,21.98
2019-07-01 10:30:00,24.7
2019-07-01 10:35:00,24.7
2019-07-01 10:40:00,24.68
2019-07-01 10:45:00,24.02
2019-07-01 10:50:00,23.68
2019-07-01 10:55:00,23.61
2019-07-01 11:00:00,22.09
2019-07-01 11:05:00,21.75
2019-07-01 11:10:00,21.93
2019-07-01 11:15:00,20.63
2019-07-01 11:20:00,23.87
2019-07-01 11:25:00,24.25
2019-07-01 11:30:00,24.44
2019-07-01 11:35:00,24.5
2019-07-01 11:40:00,24.5
2019-07-01 11:45:00,24.5
2019-07-01 11:50:00,26.5
2019-07-01 11:55:00,25.01
2019-07-01 12:00:00,25.29
2019-07-01 12:05:00,23.8
2019-07-01 12:10:00,25.29
2019-07-01 12:15:00,26.3
2019-07-01 12:20:00,26.91
2019-07-01 12:25:00,28.08
2019-07-01 12:30:00,26.8
2019-07-01 12:35:00,25.62
2019-07-01 12:40:00,26.75
2019-07-01 12:45:00,25.59
2019-07-01 12:50:00,26.82
2019-07-01 12:55:00,27.64
2019-07-01 13:00:00,24.27
2019-07-01 13:05:00,24.56
2019-07-01 13:10:00,25.51
2019-07-01 13:15:00,23.88
2019-07-01 13:20:00,23.89
2019-07-01 13:25:00,24.47
2019-07-01 13:30:00,26.08
2019-07-01 13:35:00,26.82
2019-07-01 13:40:00,26.82
2019-07-01 13:45:00,24.71
2019-07-01 13:50:00,29.99
2019-07-01 13:55:00,29.44
2019-07-01 14:00:00,24.4
2019-07-01 14:05:00,20.14
2019-07-01 14:10:00,22.14
2019-07-01 14:15:00,25.96
2019-07-01 14:20:00,25.96
2019-07-01 14:25:00,35.17
2019-07-01 14:30:00,41.31
2019-07-01 14:35:00,72.22
2019-07-01 14:40:00,58.16
2019-07-01 14:45:00,30.47
2019-07-01 14:50:00,31.13
2019-07-01 14:55:00,26.43
2019-07-01 15:00:00,26.43
2019-07-01 15:05:00,36.29
2019-07-01 15:10:00,30.35
2019-07-01 15:15:00,25.35
2019-07-01 15:20:00,28.71
2019-07-01 15:25:00,28.71
2019-07-01 15:30:00,31.42
2019-07-01 15:35:00,31.42
2019-07-01 15:40:00,31.19
2019-07-01 15:45:00,28.87
2019-07-01 15:50:00,30.96
2019-07-01 15:55:00,30.13
2019-07-01 16:00:00,32.68
2019-07-01 16:05:00,28.69
2019-07-01 16:10:00,32.66
2019-07-01 16:15:00,31.11
2019-07-01 16:20:00,31.15
2019-07-01 16:25:00,31.94
2019-07-01 16:30:00,31.95
2019-07-01 16:35:00,32.22
2019-07-01 16:40:00,30.0
2019-07-01 16:45:00,33.71
2019-07-01 16:50:00,31.99
2019-07-01 16:55:00,31.24
2019-07-01 17:00:00,35.34
2019-07-01 17:05:00,33.21
2019-07-01 17:10:00,33.22
2019-07-01 17:15:00,38.48
2019-07-01 17:20:00,38.48
2019-07-01 17:25:00,41.39
2019-07-01 17:30:00,38.1
2019-07-01 17:35:00,38.36
2019-07-01 17:40:00,38.6
2019-07-01 17:45:00,87.43
