Time Stamp,LBMP ($/MWHr)
2017-10-01 00:05:00,7.04
2017-10-01 00:10:00,7.0
2017-10-01 00:15:00,7.01
2017-10-01 00:20:00,6.99
2017-10-01 00:25:00,6.99
2017-10-01 00:30:00,18.08
2017-10-01 00:35:00,18.19
2017-10-01 00:40:00,18.2
2017-10-01 00:45:00,17.33
2017-10-01 00:50:00,7.05
2017-10-01 00:55:00,7.0
2017-10-01 01:00:00,4.6
2017-10-01 01:05:00,5.5
2017-10-01 01:10:00,5.17
2017-10-01 01:15:00,18.33
2017-10-01 01:20:00,18.32
2017-10-01 01:25:00,18.27
2017-10-01 01:30:00,18.1
2017-10-01 01:35:00,18.24
2017-10-01 01:40:00,18.27
2017-10-01 01:45:00,17.54
2017-10-01 01:50:00,4.56
2017-10-01 01:55:00,4.57
2017-10-01 02:00:00,18.24
2017-10-01 02:05:00,4.52
2017-10-01 02:10:00,4.56
2017-10-01 02:15:00,4.59
2017-10-01 02:20:00,17.15
2017-10-01 02:25:00,15.37
2017-10-01 02:30:00,4.56
2017-10-01 02:35:00,4.55
2017-10-01 02:40:00,4.55
2017-10-01 02:45:00,4.59
2017-10-01 02:50:00,4.62
2017-10-01 02:55:00,4.59
2017-10-01 03:00:00,18.42
2017-10-01 03:05:00,17.15
2017-10-01 03:10:00,15.84
2017-10-01 03:15:00,17.15
2017-10-01 03:20:00,10.34
2017-10-01 03:25:00,10.34
2017-10-01 03:30:00,10.34
2017-10-01 03:35:00,17.16
2017-10-01 03:40:00,17.15
2017-10-01 03:45:00,10.34
2017-10-01 03:50:00,10.34
2017-10-01 03:55:00,16.13
2017-10-01 04:00:00,4.74
2017-10-01 04:05:00,18.49
2017-10-01 04:10:00,18.41
2017-10-01 04:15:00,18.18
2017-10-01 04:20:00,18.2
2017-10-01 04:25:00,18.36
2017-10-01 04:30:00,18.18
2017-10-01 04:35:00,17.53
2017-10-01 04:40:00,17.36
2017-10-01 04:45:00,17.15
2017-10-01 04:50:00,17.16
2017-10-01 04:55:00,17.16
2017-10-01 05:00:00,4.56
2017-10-01 05:05:00,17.55
2017-10-01 05:10:00,18.19
2017-10-01 05:15:00,4.57
2017-10-01 05:20:00,15.99
2017-10-01 05:25:00,4.57
2017-10-01 05:30:00,10.38
2017-10-01 05:35:00,10.19
2017-10-01 05:40:00,18.22
2017-10-01 05:45:00,17.35
2017-10-01 05:50:00,17.34
2017-10-01 05:55:00,18.22
2017-10-01 06:00:00,10.69
2017-10-01 06:05:00,28.35
2017-10-01 06:10:00,17.55
2017-10-01 06:15:00,10.64
2017-10-01 06:20:00,10.63
2017-10-01 06:25:00,16.62
2017-10-01 06:30:00,10.68
2017-10-01 06:35:00,10.63
2017-10-01 06:40:00,10.65
2017-10-01 06:45:00,16.71
2017-10-01 06:50:00,10.41
2017-10-01 06:55:00,10.62
2017-10-01 07:00:00,2.37
2017-10-01 07:05:00,18.34
2017-10-01 07:10:00,3.63
2017-10-01 07:15:00,3.61
2017-10-01 07:20:00,9.68
2017-10-01 07:25:00,9.68
2017-10-01 07:30:00,9.67
2017-10-01 07:35:00,9.66
2017-10-01 07:40:00,17.0
2017-10-01 07:45:00,16.97
2017-10-01 07:50:00,16.92
2017-10-01 07:55:00,17.15
2017-10-01 08:00:00,10.44
2017-10-01 08:05:00,3.54
2017-10-01 08:10:00,9.5
2017-10-01 08:15:00,9.99
2017-10-01 08:20:00,16.89
2017-10-01 08:25:00,16.99
2017-10-01 08:30:00,16.75
2017-10-01 08:35:00,9.52
2017-10-01 08:40:00,9.54
2017-10-01 08:45:00,16.87
2017-10-01 08:50:00,18.33
2017-10-01 08:55:00,18.3
2017-10-01 09:00:00,17.53
2017-10-01 09:05:00,11.16
2017-10-01 09:10:00,17.2
2017-10-01 09:15:00,17.14
2017-10-01 09:20:00,11.23
2017-10-01 09:25:00,11.23
2017-10-01 09:30:00,11.23
2017-10-01 09:35:00,11.19
2017-10-01 09:40:00,11.23
2017-10-01 09:45:00,11.19
2017-10-01 09:50:00,11.19
2017-10-01 09:55:00,8.74
2017-10-01 10:00:00,11.34
2017-10-01 10:05:00,14.83
2017-10-01 10:10:00,14.85
2017-10-01 10:15:00,14.75
2017-10-01 10:20:00,14.72
2017-10-01 10:25:00,14.76
2017-10-01 10:30:00,14.8
2017-10-01 10:35:00,14.78
2017-10-01 10:40:00,14.7
2017-10-01 10:45:00,14.72
2017-10-01 10:50:00,14.79
2017-10-01 10:55:00,14.77
2017-10-01 11:00:00,14.7
2017-10-01 11:05:00,11.22
2017-10-01 11:10:00,11.2
2017-10-01 11:15:00,11.24
2017-10-01 11:20:00,11.24
2017-10-01 11:25:00,14.78
2017-10-01 11:30:00,14.78
2017-10-01 11:35:00,11.26
2017-10-01 11:40:00,11.29
2017-10-01 11:45:00,11.23
2017-10-01 11:50:00,11.14
2017-10-01 11:55:00,9.31
2017-10-01 12:00:00,11.29
2017-10-01 12:05:00,14.78
2017-10-01 12:10:00,14.78
2017-10-01 12:15:00,14.7
2017-10-01 12:20:00,11.24
2017-10-01 12:25:00,11.25
2017-10-01 12:30:00,11.28
2017-10-01 12:35:00,14.73
2017-10-01 12:40:00,14.73
2017-10-01 12:45:00,14.71
2017-10-01 12:50:00,14.63
2017-10-01 12:55:00,11.24
2017-10-01 13:00:00,11.27
2017-10-01 13:05:00,14.53
2017-10-01 13:10:00,14.68
2017-10-01 13:15:00,11.23
2017-10-01 13:20:00,11.26
2017-10-01 13:25:00,11.32
2017-10-01 13:30:00,8.85
2017-10-01 13:35:00,8.79
2017-10-01 13:40:00,8.06
2017-10-01 13:45:00,8.82
2017-10-01 13:50:00,11.3
2017-10-01 13:55:00,8.85
2017-10-01 14:00:00,8.88
2017-10-01 14:05:00,11.28
2017-10-01 14:10:00,11.23
2017-10-01 14:15:00,11.24
2017-10-01 14:20:00,11.23
2017-10-01 14:25:00,11.2
2017-10-01 14:30:00,11.2
2017-10-01 14:35:00,9.56
2017-10-01 14:40:00,11.17
2017-10-01 14:45:00,8.82
2017-10-01 14:50:00,8.8
2017-10-01 14:55:00,8.78
2017-10-01 15:00:00,9.16
2017-10-01 15:05:00,14.71
2017-10-01 15:10:00,16.45
2017-10-01 15:15:00,17.31
2017-10-01 15:20:00,16.45
2017-10-01 15:25:00,11.24
2017-10-01 15:30:00,14.75
2017-10-01 15:35:00,14.79
2017-10-01 15:40:00,14.76
2017-10-01 15:45:00,14.75
2017-10-01 15:50:00,14.77
2017-10-01 15:55:00,14.76
2017-10-01 16:00:00,14.55
2017-10-01 16:05:00,14.6
2017-10-01 16:10:00,14.68
2017-10-01 16:15:00,14.68
2017-10-01 16:20:00,14.72
2017-10-01 16:25:00,14.85
2017-10-01 16:30:00,14.47
2017-10-01 16:35:00,14.61
2017-10-01 16:40:00,12.22
2017-10-01 16:45:00,12.24
2017-10-01 16:50:00,14.77
2017-10-01 16:55:00,14.74
2017-10-01 17:00:00,14.73
2017-10-01 17:05:00,17.2
2017-10-01 17:10:00,17.36
2017-10-01 17:15:00,17.41
2017-10-01 17:20:00,17.45
2017-10-01 17:25:00,17.54
2017-10-01 17:30:00,21.61
2017-10-01 17:35:00,23.67
2017-10-01 17:40:00,23.74
2017-10-01 17:45:00,23.88
2017-10-01 17:50:00,23.84
2017-10-01 17:55:00,23.82
2017-10-01 18:00:00,23.53
2017-10-01 18:05:00,19.3
