"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"12/28/2011 00:05:00","CAPITL",61757,33.16,1.37,0.00
"12/28/2011 00:05:00","CENTRL",61754,32.11,0.32,0.00
"12/28/2011 00:05:00","DUNWOD",61760,33.76,1.97,0.00
"12/28/2011 00:05:00","GENESE",61753,30.97,-0.83,0.00
"12/28/2011 00:05:00","H Q",61844,31.35,-0.45,0.00
"12/28/2011 00:05:00","HUD VL",61758,33.86,2.07,0.00
"12/28/2011 00:05:00","LONGIL",61762,33.89,2.10,0.00
"12/28/2011 00:05:00","MHK VL",61756,32.56,0.76,0.00
"12/28/2011 00:05:00","MILLWD",61759,33.80,2.00,0.00
"12/28/2011 00:05:00","N.Y.C.",61761,33.89,2.10,0.00
"12/28/2011 00:05:00","NORTH",61755,31.44,-0.35,0.00
"12/28/2011 00:05:00","NPX",61845,33.35,1.56,0.00
"12/28/2011 00:05:00","O H",61846,29.57,-2.23,0.00
"12/28/2011 00:05:00","PJM",61847,32.84,1.05,0.00
"12/28/2011 00:05:00","WEST",61752,30.46,-1.34,0.00
"12/28/2011 00:10:00","CAPITL",61757,39.20,1.65,0.00
"12/28/2011 00:10:00","CENTRL",61754,37.84,0.30,0.00
"12/28/2011 00:10:00","DUNWOD",61760,39.91,2.37,0.00
"12/28/2011 00:10:00","GENESE",61753,36.49,-1.05,0.00
"12/28/2011 00:10:00","H Q",61844,37.02,-0.53,0.00
"12/28/2011 00:10:00","HUD VL",61758,39.98,2.44,0.00
"12/28/2011 00:10:00","LONGIL",61762,40.02,2.48,0.00
"12/28/2011 00:10:00","MHK VL",61756,38.41,0.86,0.00
"12/28/2011 00:10:00","MILLWD",61759,39.95,2.40,0.00
"12/28/2011 00:10:00","N.Y.C.",61761,40.02,2.48,0.00
"12/28/2011 00:10:00","NORTH",61755,37.13,-0.41,0.00
"12/28/2011 00:10:00","NPX",61845,39.42,1.88,0.00
"12/28/2011 00:10:00","O H",61846,34.80,-2.74,0.00
"12/28/2011 00:10:00","PJM",61847,38.71,1.16,0.00
"12/28/2011 00:10:00","WEST",61752,35.82,-1.73,0.00
