Time Stamp,LBMP ($/MWHr)
2017-10-01 00:05:00,6.58
2017-10-01 00:10:00,6.6
2017-10-01 00:15:00,6.6
2017-10-01 00:20:00,6.61
2017-10-01 00:25:00,6.59
2017-10-01 00:30:00,17.05
2017-10-01 00:35:00,17.17
2017-10-01 00:40:00,17.23
2017-10-01 00:45:00,16.33
2017-10-01 00:50:00,6.64
2017-10-01 00:55:00,6.59
2017-10-01 01:00:00,4.32
2017-10-01 01:05:00,5.14
2017-10-01 01:10:00,4.86
2017-10-01 01:15:00,17.36
2017-10-01 01:20:00,17.33
2017-10-01 01:25:00,17.31
2017-10-01 01:30:00,17.08
2017-10-01 01:35:00,17.16
2017-10-01 01:40:00,17.18
2017-10-01 01:45:00,16.46
2017-10-01 01:50:00,4.29
2017-10-01 01:55:00,4.3
2017-10-01 02:00:00,17.19
2017-10-01 02:05:00,4.28
2017-10-01 02:10:00,4.3
2017-10-01 02:15:00,4.32
2017-10-01 02:20:00,16.13
2017-10-01 02:25:00,14.5
2017-10-01 02:30:00,4.3
2017-10-01 02:35:00,4.31
2017-10-01 02:40:00,4.29
2017-10-01 02:45:00,4.31
2017-10-01 02:50:00,4.32
2017-10-01 02:55:00,4.3
2017-10-01 03:00:00,17.28
2017-10-01 03:05:00,15.98
2017-10-01 03:10:00,14.81
2017-10-01 03:15:00,16.03
2017-10-01 03:20:00,9.66
2017-10-01 03:25:00,9.65
2017-10-01 03:30:00,9.66
2017-10-01 03:35:00,16.03
2017-10-01 03:40:00,16.03
2017-10-01 03:45:00,9.68
2017-10-01 03:50:00,9.67
2017-10-01 03:55:00,15.08
2017-10-01 04:00:00,4.43
2017-10-01 04:05:00,17.31
2017-10-01 04:10:00,17.27
2017-10-01 04:15:00,17.06
2017-10-01 04:20:00,17.04
2017-10-01 04:25:00,17.21
2017-10-01 04:30:00,17.04
2017-10-01 04:35:00,16.43
2017-10-01 04:40:00,16.27
2017-10-01 04:45:00,16.06
2017-10-01 04:50:00,16.06
2017-10-01 04:55:00,16.09
2017-10-01 05:00:00,4.28
2017-10-01 05:05:00,16.49
2017-10-01 05:10:00,17.11
2017-10-01 05:15:00,4.29
2017-10-01 05:20:00,14.95
2017-10-01 05:25:00,4.28
2017-10-01 05:30:00,9.72
2017-10-01 05:35:00,9.57
2017-10-01 05:40:00,17.09
2017-10-01 05:45:00,16.31
2017-10-01 05:50:00,16.25
2017-10-01 05:55:00,17.07
2017-10-01 06:00:00,9.97
2017-10-01 06:05:00,10.01
2017-10-01 06:10:00,9.96
2017-10-01 06:15:00,9.93
2017-10-01 06:20:00,9.95
2017-10-01 06:25:00,15.52
2017-10-01 06:30:00,9.95
2017-10-01 06:35:00,9.92
2017-10-01 06:40:00,9.94
2017-10-01 06:45:00,15.58
2017-10-01 06:50:00,9.72
2017-10-01 06:55:00,9.95
2017-10-01 07:00:00,2.21
2017-10-01 07:05:00,17.06
2017-10-01 07:10:00,3.37
2017-10-01 07:15:00,3.37
2017-10-01 07:20:00,9.01
2017-10-01 07:25:00,9.01
2017-10-01 07:30:00,9.0
2017-10-01 07:35:00,9.01
2017-10-01 07:40:00,15.84
2017-10-01 07:45:00,15.82
2017-10-01 07:50:00,15.77
2017-10-01 07:55:00,15.98
2017-10-01 08:00:00,9.8
2017-10-01 08:05:00,3.34
2017-10-01 08:10:00,8.94
2017-10-01 08:15:00,9.34
2017-10-01 08:20:00,15.8
2017-10-01 08:25:00,15.85
2017-10-01 08:30:00,15.7
2017-10-01 08:35:00,8.92
2017-10-01 08:40:00,8.93
2017-10-01 08:45:00,15.8
2017-10-01 08:50:00,17.14
2017-10-01 08:55:00,17.18
2017-10-01 09:00:00,16.49
2017-10-01 09:05:00,10.51
2017-10-01 09:10:00,16.1
2017-10-01 09:15:00,16.07
2017-10-01 09:20:00,10.52
2017-10-01 09:25:00,10.51
2017-10-01 09:30:00,10.51
2017-10-01 09:35:00,10.49
2017-10-01 09:40:00,10.5
2017-10-01 09:45:00,10.47
2017-10-01 09:50:00,10.48
2017-10-01 09:55:00,8.2
2017-10-01 10:00:00,10.56
2017-10-01 10:05:00,13.79
2017-10-01 10:10:00,13.86
2017-10-01 10:15:00,13.83
2017-10-01 10:20:00,13.83
2017-10-01 10:25:00,13.86
2017-10-01 10:30:00,13.89
2017-10-01 10:35:00,13.87
2017-10-01 10:40:00,13.81
2017-10-01 10:45:00,13.83
2017-10-01 10:50:00,13.93
2017-10-01 10:55:00,13.9
2017-10-01 11:00:00,13.77
2017-10-01 11:05:00,10.48
2017-10-01 11:10:00,10.49
2017-10-01 11:15:00,10.53
2017-10-01 11:20:00,10.54
2017-10-01 11:25:00,13.87
2017-10-01 11:30:00,13.88
2017-10-01 11:35:00,10.54
2017-10-01 11:40:00,10.54
2017-10-01 11:45:00,10.5
2017-10-01 11:50:00,10.47
2017-10-01 11:55:00,8.74
2017-10-01 12:00:00,10.57
2017-10-01 12:05:00,13.85
2017-10-01 12:10:00,13.83
2017-10-01 12:15:00,13.75
2017-10-01 12:20:00,10.54
2017-10-01 12:25:00,10.56
2017-10-01 12:30:00,10.56
2017-10-01 12:35:00,13.78
2017-10-01 12:40:00,13.79
2017-10-01 12:45:00,13.76
2017-10-01 12:50:00,13.69
2017-10-01 12:55:00,10.54
2017-10-01 13:00:00,10.58
2017-10-01 13:05:00,13.66
2017-10-01 13:10:00,13.82
2017-10-01 13:15:00,10.55
2017-10-01 13:20:00,10.58
2017-10-01 13:25:00,10.59
2017-10-01 13:30:00,8.31
2017-10-01 13:35:00,8.26
2017-10-01 13:40:00,7.58
2017-10-01 13:45:00,8.3
2017-10-01 13:50:00,10.57
2017-10-01 13:55:00,8.34
2017-10-01 14:00:00,8.33
2017-10-01 14:05:00,10.56
2017-10-01 14:10:00,10.54
2017-10-01 14:15:00,10.59
2017-10-01 14:20:00,10.56
2017-10-01 14:25:00,10.55
2017-10-01 14:30:00,10.51
2017-10-01 14:35:00,8.98
2017-10-01 14:40:00,10.52
2017-10-01 14:45:00,8.29
2017-10-01 14:50:00,8.28
2017-10-01 14:55:00,8.27
2017-10-01 15:00:00,8.31
2017-10-01 15:05:00,13.83
2017-10-01 15:10:00,10.99
2017-10-01 15:15:00,9.0
2017-10-01 15:20:00,10.94
2017-10-01 15:25:00,10.55
2017-10-01 15:30:00,13.83
2017-10-01 15:35:00,13.89
2017-10-01 15:40:00,13.85
2017-10-01 15:45:00,13.79
2017-10-01 15:50:00,13.85
2017-10-01 15:55:00,13.82
2017-10-01 16:00:00,13.81
2017-10-01 16:05:00,13.91
2017-10-01 16:10:00,13.88
2017-10-01 16:15:00,13.85
2017-10-01 16:20:00,13.91
2017-10-01 16:25:00,14.04
2017-10-01 16:30:00,13.69
2017-10-01 16:35:00,13.75
2017-10-01 16:40:00,11.5
2017-10-01 16:45:00,11.52
2017-10-01 16:50:00,13.9
2017-10-01 16:55:00,13.93
2017-10-01 17:00:00,13.93
2017-10-01 17:05:00,16.24
2017-10-01 17:10:00,16.35
