Time Stamp,LBMP ($/MWHr)
2019-07-01 00:00:00,34.92
2019-07-01 00:05:00,34.92
2019-07-01 00:10:00,34.92
2019-07-01 00:15:00,26.13
2019-07-01 00:20:00,20.09
2019-07-01 00:25:00,20.09
2019-07-01 00:30:00,22.67
2019-07-01 00:35:00,37.65
2019-07-01 00:40:00,42.12
2019-07-01 00:45:00,42.07
2019-07-01 00:50:00,22.54
2019-07-01 00:55:00,23.4
2019-07-01 01:00:00,20.6
2019-07-01 01:05:00,20.79
2019-07-01 01:10:00,21.32
2019-07-01 01:15:00,20.9
2019-07-01 01:20:00,46.46
2019-07-01 01:25:00,24.38
2019-07-01 01:30:00,37.83
2019-07-01 01:35:00,27.29
2019-07-01 01:40:00,45.34
2019-07-01 01:45:00,29.23
2019-07-01 01:50:00,28.25
2019-07-01 01:55:00,29.42
2019-07-01 02:00:00,23.62
2019-07-01 02:05:00,19.21
2019-07-01 02:10:00,19.02
2019-07-01 02:15:00,21.15
2019-07-01 02:20:00,18.88
2019-07-01 02:25:00,23.94
2019-07-01 02:30:00,23.88
2019-07-01 02:35:00,15.18
2019-07-01 02:40:00,19.02
2019-07-01 02:45:00,18.55
2019-07-01 02:50:00,18.52
2019-07-01 02:55:00,15.15
2019-07-01 03:00:00,22.95
2019-07-01 03:05:00,22.77
2019-07-01 03:10:00,19.99
2019-07-01 03:15:00,9.19
2019-07-01 03:20:00,9.22
2019-07-01 03:25:00,8.1
2019-07-01 03:30:00,8.19
2019-07-01 03:35:00,1.1
2019-07-01 03:40:00,18.56
2019-07-01 03:45:00,23.36
2019-07-01 03:50:00,19.99
2019-07-01 03:55:00,23.35
2019-07-01 04:00:00,14.44
2019-07-01 04:05:00,13.37
2019-07-01 04:10:00,22.36
2019-07-01 04:15:00,25.52
2019-07-01 04:20:00,25.61
2019-07-01 04:25:00,25.52
2019-07-01 04:30:00,21.94
2019-07-01 04:35:00,9.88
2019-07-01 04:40:00,17.99
2019-07-01 04:45:00,2.18
2019-07-01 04:50:00,3.28
2019-07-01 04:55:00,4.4
2019-07-01 05:00:00,18.72
2019-07-01 05:05:00,9.71
2019-07-01 05:10:00,13.75
2019-07-01 05:15:00,10.06
2019-07-01 05:20:00,21.25
2019-07-01 05:25:00,21.25
2019-07-01 05:30:00,14.89
2019-07-01 05:35:00,9.71
2019-07-01 05:40:00,9.74
2019-07-01 05:45:00,18.89
2019-07-01 05:50:00,18.69
2019-07-01 05:55:00,24.7
2019-07-01 06:00:00,-498.96
2019-07-01 06:05:00,1.09
2019-07-01 06:10:00,2.17
2019-07-01 06:15:00,2.18
2019-07-01 06:20:00,7.1
2019-07-01 06:25:00,19.5
2019-07-01 06:30:00,10.54
2019-07-01 06:35:00,7.75
2019-07-01 06:40:00,8.46
2019-07-01 06:45:00,8.47
2019-07-01 06:50:00,15.61
2019-07-01 06:55:00,21.71
2019-07-01 07:00:00,8.53
2019-07-01 07:05:00,7.13
2019-07-01 07:10:00,8.54
2019-07-01 07:15:00,15.54
2019-07-01 07:20:00,19.49
2019-07-01 07:25:00,16.28
2019-07-01 07:30:00,4.41
2019-07-01 07:35:00,17.2
2019-07-01 07:40:00,20.08
2019-07-01 07:45:00,3.28
2019-07-01 07:50:00,15.01
2019-07-01 07:55:00,15.42
2019-07-01 08:00:00,14.99
2019-07-01 08:05:00,19.59
2019-07-01 08:10:00,17.92
2019-07-01 08:15:00,14.88
2019-07-01 08:20:00,13.05
2019-07-01 08:25:00,15.41
2019-07-01 08:30:00,17.27
2019-07-01 08:35:00,17.37
2019-07-01 08:40:00,17.4
2019-07-01 08:45:00,10.63
2019-07-01 08:50:00,-1.25
2019-07-01 08:55:00,15.79
2019-07-01 09:00:00,15.49
2019-07-01 09:05:00,11.55
2019-07-01 09:10:00,25.61
2019-07-01 09:15:00,15.35
2019-07-01 09:20:00,14.4
2019-07-01 09:25:00,14.28
2019-07-01 09:30:00,15.6
2019-07-01 09:35:00,17.66
2019-07-01 09:40:00,18.49
2019-07-01 09:45:00,16.13
2019-07-01 09:50:00,-7.77
2019-07-01 09:55:00,-7.41
2019-07-01 10:00:00,11.47
2019-07-01 10:05:00,18.49
2019-07-01 10:10:00,14.95
2019-07-01 10:15:00,17.25
2019-07-01 10:20:00,-5.96
2019-07-01 10:25:00,8.53
2019-07-01 10:30:00,28.04
2019-07-01 10:35:00,28.04
2019-07-01 10:40:00,18.6
2019-07-01 10:45:00,18.39
2019-07-01 10:50:00,19.66
2019-07-01 10:55:00,27.4
2019-07-01 11:00:00,18.22
2019-07-01 11:05:00,18.48
2019-07-01 11:10:00,18.07
2019-07-01 11:15:00,30.55
2019-07-01 11:20:00,18.4
2019-07-01 11:25:00,22.32
2019-07-01 11:30:00,21.64
2019-07-01 11:35:00,25.73
2019-07-01 11:40:00,26.02
2019-07-01 11:45:00,24.3
2019-07-01 11:50:00,28.37
2019-07-01 11:55:00,22.91
2019-07-01 12:00:00,22.62
2019-07-01 12:05:00,20.41
2019-07-01 12:10:00,22.54
2019-07-01 12:15:00,25.21
2019-07-01 12:20:00,26.22
2019-07-01 12:25:00,24.2
2019-07-01 12:30:00,21.24
2019-07-01 12:35:00,20.45
2019-07-01 12:40:00,19.48
2019-07-01 12:45:00,20.46
2019-07-01 12:50:00,21.76
2019-07-01 12:55:00,21.8
2019-07-01 13:00:00,22.26
2019-07-01 13:05:00,22.86
2019-07-01 13:10:00,24.69
2019-07-01 13:15:00,21.6
2019-07-01 13:20:00,21.22
2019-07-01 13:25:00,15.54
2019-07-01 13:30:00,19.21
2019-07-01 13:35:00,24.12
2019-07-01 13:40:00,24.12
2019-07-01 13:45:00,28.05
2019-07-01 13:50:00,40.23
2019-07-01 13:55:00,22.95
2019-07-01 14:00:00,20.01
2019-07-01 14:05:00,17.92
2019-07-01 14:10:00,25.42
2019-07-01 14:15:00,35.49
2019-07-01 14:20:00,35.49
2019-07-01 14:25:00,49.06
2019-07-01 14:30:00,56.93
2019-07-01 14:35:00,90.79
2019-07-01 14:40:00,71.9
2019-07-01 14:45:00,35.95
2019-07-01 14:50:00,14.02
2019-07-01 14:55:00,29.98
2019-07-01 15:00:00,29.98
2019-07-01 15:05:00,46.1
2019-07-01 15:10:00,25.68
2019-07-01 15:15:00,22.6
2019-07-01 15:20:00,19.64
2019-07-01 15:25:00,19.64
2019-07-01 15:30:00,33.89
2019-07-01 15:35:00,33.89
2019-07-01 15:40:00,33.71
2019-07-01 15:45:00,27.3
2019-07-01 15:50:00,21.83
2019-07-01 15:55:00,22.82
2019-07-01 16:00:00,30.89
2019-07-01 16:05:00,25.17
2019-07-01 16:10:00,26.41
2019-07-01 16:15:00,26.23
2019-07-01 16:20:00,22.06
2019-07-01 16:25:00,21.61
2019-07-01 16:30:00,26.71
2019-07-01 16:35:00,38.51
2019-07-01 16:40:00,32.9
2019-07-01 16:45:00,26.34
2019-07-01 16:50:00,22.37
2019-07-01 16:55:00,21.49
2019-07-01 17:00:00,21.82
2019-07-01 17:05:00,20.2
2019-07-01 17:10:00,20.16
2019-07-01 17:15:00,25.58
2019-07-01 17:20:00,25.58
2019-07-01 17:25:00,46.37
2019-07-01 17:30:00,31.97
2019-07-01 17:35:00,38.27
2019-07-01 17:40:00,32.99
2019-07-01 17:45:00,28.83
2019-07-01 17:50:00,29.03
2019-07-01 17:55:00,29.03
2019-07-01 18:00:00,29.03
2019-07-01 18:05:00,30.5
2019-07-01 18:10:00,23.56
2019-07-01 18:15:00,23.25
2019-07-01 18:20:00,24.06
2019-07-01 18:25:00,24.56
2019-07-01 18:30:00,23.55
2019-07-01 18:35:00,22.46
2019-07-01 18:40:00,23.53
2019-07-01 18:45:00,33.52
2019-07-01 18:50:00,33.52
2019-07-01 18:55:00,30.39
2019-07-01 19:00:00,62.82
2019-07-01 19:05:00,35.21
2019-07-01 19:10:00,22.87
2019-07-01 19:15:00,24.88
2019-07-01 19:20:00,32.21
2019-07-01 19:25:00,31.52
2019-07-01 19:30:00,23.03
2019-07-01 19:35:00,34.42
2019-07-01 19:40:00,25.64
2019-07-01 19:45:00,28.25
2019-07-01 19:50:00,21.35
2019-07-01 19:55:00,21.66
2019-07-01 20:00:00,25.41
2019-07-01 20:05:00,117.91
2019-07-01 20:10:00,28.99
2019-07-01 20:15:00,25.33
2019-07-01 20:20:00,25.33
2019-07-01 20:25:00,25.65
2019-07-01 20:30:00,30.71
2019-07-01 20:35:00,19.91
2019-07-01 20:40:00,20.43
2019-07-01 20:45:00,23.41
2019-07-01 20:50:00,21.76
2019-07-01 20:55:00,20.51
2019-07-01 21:00:00,20.86
2019-07-01 21:05:00,20.99
2019-07-01 21:10:00,20.97
2019-07-01 21:15:00,78.31
2019-07-01 21:20:00,48.3
2019-07-01 21:25:00,48.3
2019-07-01 21:30:00,36.05
2019-07-01 21:35:00,21.7
2019-07-01 21:40:00,20.62
2019-07-01 21:45:00,21.74
2019-07-01 21:50:00,19.71
2019-07-01 21:55:00,21.52
2019-07-01 22:00:00,20.74
2019-07-01 22:05:00,23.16
2019-07-01 22:10:00,22.48
