Time,$/MWh
2020-12-01 00:00:00,9.24
2020-12-01 00:05:00,0.0
2020-12-01 00:10:00,0.0
2020-12-01 00:15:00,11.42
2020-12-01 00:20:00,12.61
2020-12-01 00:25:00,12.99
2020-12-01 00:30:00,12.99
2020-12-01 00:35:00,12.99
2020-12-01 00:40:00,13.05
2020-12-01 00:45:00,13.05
2020-12-01 00:50:00,13.49
2020-12-01 00:55:00,13.57
2020-12-01 01:00:00,13.6
2020-12-01 01:05:00,13.6
2020-12-01 01:10:00,13.6
2020-12-01 01:15:00,13.75
2020-12-01 01:20:00,13.75
2020-12-01 01:25:00,13.75
2020-12-01 01:30:00,13.39
2020-12-01 01:35:00,13.39
2020-12-01 01:40:00,13.15
2020-12-01 01:45:00,13.43
2020-12-01 01:50:00,13.43
2020-12-01 01:55:00,13.43
2020-12-01 02:00:00,13.29
2020-12-01 02:05:00,13.35
2020-12-01 02:10:00,13.35
2020-12-01 02:15:00,13.11
2020-12-01 02:20:00,13.11
2020-12-01 02:25:00,13.33
2020-12-01 02:30:00,13.54
2020-12-01 02:35:00,13.54
2020-12-01 02:40:00,13.54
2020-12-01 02:45:00,13.23
2020-12-01 02:50:00,13.23
2020-12-01 02:55:00,13.36
2020-12-01 03:00:00,13.19
2020-12-01 03:05:00,13.25
2020-12-01 03:10:00,13.25
2020-12-01 03:15:00,13.34
2020-12-01 03:20:00,13.34
2020-12-01 03:25:00,13.08
2020-12-01 03:30:00,13.08
2020-12-01 03:35:00,13.29
2020-12-01 03:40:00,13.29
2020-12-01 03:45:00,13.53
2020-12-01 03:50:00,13.53
2020-12-01 03:55:00,13.63
2020-12-01 04:00:00,13.43
2020-12-01 04:05:00,13.43
2020-12-01 04:10:00,13.35
2020-12-01 04:15:00,13.47
2020-12-01 04:20:00,13.47
2020-12-01 04:25:00,13.47
2020-12-01 04:30:00,13.48
2020-12-01 04:35:00,13.48
2020-12-01 04:40:00,13.51
2020-12-01 04:45:00,13.51
2020-12-01 04:50:00,19.65
2020-12-01 04:55:00,19.65
2020-12-01 05:00:00,13.77
2020-12-01 05:05:00,13.22
2020-12-01 05:10:00,11.43
2020-12-01 05:15:00,11.43
2020-12-01 05:20:00,13.41
2020-12-01 05:25:00,12.92
2020-12-01 05:30:00,13.04
2020-12-01 05:35:00,13.04
2020-12-01 05:40:00,13.29
2020-12-01 05:45:00,13.55
2020-12-01 05:50:00,23.2
2020-12-01 05:55:00,23.2
2020-12-01 06:00:00,23.2
2020-12-01 06:05:00,13.83
2020-12-01 06:10:00,13.77
2020-12-01 06:15:00,13.77
2020-12-01 06:20:00,13.58
2020-12-01 06:25:00,14.38
2020-12-01 06:30:00,16.06
2020-12-01 06:35:00,16.06
2020-12-01 06:40:00,30.51
2020-12-01 06:45:00,30.5
2020-12-01 06:50:00,25.17
2020-12-01 06:55:00,25.17
2020-12-01 07:00:00,14.27
2020-12-01 07:05:00,13.8
2020-12-01 07:10:00,13.8
2020-12-01 07:15:00,13.8
2020-12-01 07:20:00,13.71
2020-12-01 07:25:00,14.3
2020-12-01 07:30:00,14.3
2020-12-01 07:35:00,14.3
2020-12-01 07:40:00,14.37
2020-12-01 07:45:00,14.37
2020-12-01 07:50:00,13.94
2020-12-01 07:55:00,14.31
2020-12-01 08:00:00,14.31
2020-12-01 08:05:00,14.07
2020-12-01 08:10:00,13.89
2020-12-01 08:15:00,13.89
2020-12-01 08:20:00,14.0
2020-12-01 08:25:00,13.94
2020-12-01 08:30:00,13.94
2020-12-01 08:35:00,13.83
2020-12-01 08:40:00,13.65
2020-12-01 08:45:00,13.51
2020-12-01 08:50:00,13.51
2020-12-01 08:55:00,13.51
2020-12-01 09:00:00,13.51
2020-12-01 09:05:00,13.87
2020-12-01 09:10:00,13.87
2020-12-01 09:15:00,13.87
2020-12-01 09:20:00,14.73
2020-12-01 09:25:00,14.73
2020-12-01 09:30:00,14.73
2020-12-01 09:35:00,14.33
2020-12-01 09:40:00,14.33
2020-12-01 09:45:00,14.75
2020-12-01 09:50:00,14.75
2020-12-01 09:55:00,14.75
2020-12-01 10:00:00,20.86
2020-12-01 10:05:00,20.03
2020-12-01 10:10:00,20.03
2020-12-01 10:15:00,20.03
2020-12-01 10:20:00,19.78
2020-12-01 10:25:00,19.78
2020-12-01 10:30:00,19.78
2020-12-01 10:35:00,19.78
2020-12-01 10:40:00,19.42
2020-12-01 10:45:00,19.42
2020-12-01 10:50:00,19.13
2020-12-01 10:55:00,19.13
2020-12-01 11:00:00,19.13
2020-12-01 11:05:00,19.39
2020-12-01 11:10:00,19.92
2020-12-01 11:15:00,19.92
2020-12-01 11:20:00,20.04
2020-12-01 11:25:00,20.16
2020-12-01 11:30:00,20.16
2020-12-01 11:35:00,20.2
2020-12-01 11:40:00,20.18
2020-12-01 11:45:00,20.18
2020-12-01 11:50:00,20.18
2020-12-01 11:55:00,20.18
2020-12-01 12:00:00,20.18
2020-12-01 12:05:00,20.04
2020-12-01 12:10:00,20.04
2020-12-01 12:15:00,20.04
2020-12-01 12:20:00,19.4
2020-12-01 12:25:00,19.4
2020-12-01 12:30:00,19.17
2020-12-01 12:35:00,19.17
2020-12-01 12:40:00,19.17
2020-12-01 12:45:00,19.31
2020-12-01 12:50:00,19.04
2020-12-01 12:55:00,19.21
2020-12-01 13:00:00,19.21
2020-12-01 13:05:00,19.28
2020-12-01 13:10:00,19.28
2020-12-01 13:15:00,19.28
2020-12-01 13:20:00,18.9
2020-12-01 13:25:00,17.93
2020-12-01 13:30:00,18.37
2020-12-01 13:35:00,18.37
2020-12-01 13:40:00,18.37
2020-12-01 13:45:00,18.37
2020-12-01 13:50:00,17.9
2020-12-01 13:55:00,18.46
2020-12-01 14:00:00,18.65
2020-12-01 14:05:00,18.39
2020-12-01 14:10:00,18.6
2020-12-01 14:15:00,18.6
2020-12-01 14:20:00,18.97
2020-12-01 14:25:00,18.97
2020-12-01 14:30:00,19.21
2020-12-01 14:35:00,19.31
2020-12-01 14:40:00,19.31
2020-12-01 14:45:00,19.26
2020-12-01 14:50:00,19.26
2020-12-01 14:55:00,19.26
2020-12-01 15:00:00,19.26
2020-12-01 15:05:00,16.44
2020-12-01 15:10:00,19.17
2020-12-01 15:15:00,19.17
2020-12-01 15:20:00,19.66
2020-12-01 15:25:00,19.66
2020-12-01 15:30:00,20.67
2020-12-01 15:35:00,21.26
2020-12-01 15:40:00,21.26
2020-12-01 15:45:00,21.26
2020-12-01 15:50:00,21.26
2020-12-01 15:55:00,22.1
2020-12-01 16:00:00,22.1
2020-12-01 16:05:00,19.26
2020-12-01 16:10:00,19.28
2020-12-01 16:15:00,18.92
2020-12-01 16:20:00,19.53
2020-12-01 16:25:00,19.53
2020-12-01 16:30:00,21.86
2020-12-01 16:35:00,21.86
2020-12-01 16:40:00,30.83
2020-12-01 16:45:00,30.83
2020-12-01 16:50:00,30.83
2020-12-01 16:55:00,36.06
2020-12-01 17:00:00,25.96
2020-12-01 17:05:00,35.45
2020-12-01 17:10:00,35.45
2020-12-01 17:15:00,35.45
2020-12-01 17:20:00,44.07
2020-12-01 17:25:00,44.07
2020-12-01 17:30:00,43.86
2020-12-01 17:35:00,43.86
2020-12-01 17:40:00,43.86
2020-12-01 17:45:00,43.86
2020-12-01 17:50:00,35.46
2020-12-01 17:55:00,35.46
2020-12-01 18:00:00,35.46
2020-12-01 18:05:00,43.93
2020-12-01 18:10:00,43.93
2020-12-01 18:15:00,62.49
2020-12-01 18:20:00,31.91
2020-12-01 18:25:00,31.91
2020-12-01 18:30:00,31.91
2020-12-01 18:35:00,31.91
2020-12-01 18:40:00,23.39
2020-12-01 18:45:00,23.39
2020-12-01 18:50:00,31.76
2020-12-01 18:55:00,31.76
2020-12-01 19:00:00,22.92
2020-12-01 19:05:00,22.92
2020-12-01 19:10:00,22.92
2020-12-01 19:15:00,22.56
2020-12-01 19:20:00,22.01
2020-12-01 19:25:00,22.01
2020-12-01 19:30:00,22.01
2020-12-01 19:35:00,31.62
2020-12-01 19:40:00,36.08
2020-12-01 19:45:00,36.08
2020-12-01 19:50:00,24.1
2020-12-01 19:55:00,24.27
2020-12-01 20:00:00,24.27
2020-12-01 20:05:00,26.46
2020-12-01 20:10:00,26.46
2020-12-01 20:15:00,26.46
2020-12-01 20:20:00,25.25
2020-12-01 20:25:00,25.25
2020-12-01 20:30:00,25.25
2020-12-01 20:35:00,26.34
2020-12-01 20:40:00,26.34
2020-12-01 20:45:00,26.34
2020-12-01 20:50:00,20.93
2020-12-01 20:55:00,20.93
2020-12-01 21:00:00,20.93
2020-12-01 21:05:00,21.78
2020-12-01 21:10:00,21.78
2020-12-01 21:15:00,25.41
2020-12-01 21:20:00,26.34
2020-12-01 21:25:00,26.34
2020-12-01 21:30:00,26.25
2020-12-01 21:35:00,26.25
2020-12-01 21:40:00,22.35
2020-12-01 21:45:00,22.35
2020-12-01 21:50:00,26.41
2020-12-01 21:55:00,20.69
2020-12-01 22:00:00,20.69
2020-12-01 22:05:00,19.66
2020-12-01 22:10:00,19.66
2020-12-01 22:15:00,19.31
2020-12-01 22:20:00,21.74
2020-12-01 22:25:00,21.74
2020-12-01 22:30:00,22.06
2020-12-01 22:35:00,22.06
2020-12-01 22:40:00,22.06
2020-12-01 22:45:00,19.75
2020-12-01 22:50:00,19.75
2020-12-01 22:55:00,19.75
2020-12-01 23:00:00,19.75
2020-12-01 23:05:00,19.21
2020-12-01 23:10:00,19.21
2020-12-01 23:15:00,19.21
2020-12-01 23:20:00,18.48
2020-12-01 23:25:00,18.48
2020-12-01 23:30:00,18.37
2020-12-01 23:35:00,18.37
2020-12-01 23:40:00,17.43
2020-12-01 23:45:00,17.43
2020-12-01 23:50:00,17.5
2020-12-01 23:55:00,17.5
