Time Stamp,LBMP ($/MWHr)
2020-12-01 00:05:00,17.72
2020-12-01 00:10:00,17.68
2020-12-01 00:15:00,20.23
2020-12-01 00:20:00,22.73
2020-12-01 00:25:00,22.6
2020-12-01 00:30:00,17.87
2020-12-01 00:35:00,16.15
2020-12-01 00:40:00,16.01
2020-12-01 00:45:00,16.03
2020-12-01 00:50:00,15.74
2020-12-01 00:55:00,15.74
2020-12-01 01:00:00,17.17
2020-12-01 01:05:00,17.43
2020-12-01 01:10:00,17.41
2020-12-01 01:15:00,17.35
2020-12-01 01:20:00,17.1
2020-12-01 01:25:00,16.89
2020-12-01 01:30:00,16.73
2020-12-01 01:35:00,16.48
2020-12-01 01:40:00,15.68
2020-12-01 01:45:00,15.62
2020-12-01 01:50:00,15.58
2020-12-01 01:55:00,14.19
2020-12-01 02:00:00,15.59
2020-12-01 02:05:00,15.64
2020-12-01 02:10:00,15.65
2020-12-01 02:15:00,15.63
2020-12-01 02:20:00,15.58
2020-12-01 02:25:00,14.17
2020-12-01 02:30:00,14.13
2020-12-01 02:35:00,14.12
2020-12-01 02:40:00,14.11
2020-12-01 02:45:00,14.08
2020-12-01 02:50:00,14.12
2020-12-01 02:55:00,14.04
2020-12-01 03:00:00,14.1
2020-12-01 03:05:00,14.11
2020-12-01 03:10:00,14.06
2020-12-01 03:15:00,14.13
2020-12-01 03:20:00,14.1
2020-12-01 03:25:00,14.06
2020-12-01 03:30:00,14.09
2020-12-01 03:35:00,12.55
2020-12-01 03:40:00,12.52
2020-12-01 03:45:00,12.56
2020-12-01 03:50:00,12.59
2020-12-01 03:55:00,12.23
2020-12-01 04:00:00,14.11
2020-12-01 04:05:00,15.53
2020-12-01 04:10:00,15.52
2020-12-01 04:15:00,14.16
2020-12-01 04:20:00,14.13
2020-12-01 04:25:00,14.1
2020-12-01 04:30:00,14.16
2020-12-01 04:35:00,14.09
2020-12-01 04:40:00,14.08
2020-12-01 04:45:00,14.1
2020-12-01 04:50:00,14.07
2020-12-01 04:55:00,14.08
2020-12-01 05:00:00,14.13
2020-12-01 05:05:00,15.61
2020-12-01 05:10:00,15.62
2020-12-01 05:15:00,15.7
2020-12-01 05:20:00,16.9
2020-12-01 05:25:00,17.19
2020-12-01 05:30:00,16.99
2020-12-01 05:35:00,16.99
2020-12-01 05:40:00,17.27
2020-12-01 05:45:00,17.27
2020-12-01 05:50:00,17.26
2020-12-01 05:55:00,16.9
2020-12-01 06:00:00,12.14
2020-12-01 06:05:00,16.26
2020-12-01 06:10:00,16.25
2020-12-01 06:15:00,16.25
2020-12-01 06:20:00,16.26
2020-12-01 06:25:00,16.31
2020-12-01 06:30:00,16.31
2020-12-01 06:35:00,16.88
2020-12-01 06:40:00,14.92
2020-12-01 06:45:00,16.92
2020-12-01 06:50:00,17.91
2020-12-01 06:55:00,19.16
2020-12-01 07:00:00,12.33
2020-12-01 07:05:00,12.97
2020-12-01 07:10:00,14.94
2020-12-01 07:15:00,15.06
2020-12-01 07:20:00,17.09
2020-12-01 07:25:00,17.13
2020-12-01 07:30:00,17.82
2020-12-01 07:35:00,18.41
2020-12-01 07:40:00,18.37
2020-12-01 07:45:00,17.53
2020-12-01 07:50:00,15.66
2020-12-01 07:55:00,15.57
2020-12-01 08:00:00,11.48
2020-12-01 08:05:00,12.05
2020-12-01 08:10:00,12.03
2020-12-01 08:15:00,13.66
2020-12-01 08:20:00,19.21
2020-12-01 08:25:00,17.91
2020-12-01 08:30:00,17.32
2020-12-01 08:35:00,12.49
2020-12-01 08:40:00,13.18
2020-12-01 08:45:00,14.39
2020-12-01 08:50:00,16.15
2020-12-01 08:55:00,16.17
2020-12-01 09:00:00,15.1
2020-12-01 09:05:00,16.79
2020-12-01 09:10:00,16.82
2020-12-01 09:15:00,16.8
2020-12-01 09:20:00,16.27
2020-12-01 09:25:00,16.78
2020-12-01 09:30:00,17.07
2020-12-01 09:35:00,17.47
2020-12-01 09:40:00,17.47
2020-12-01 09:45:00,16.75
2020-12-01 09:50:00,16.15
2020-12-01 09:55:00,16.2
2020-12-01 10:00:00,16.31
2020-12-01 10:05:00,16.29
2020-12-01 10:10:00,16.32
2020-12-01 10:15:00,16.22
2020-12-01 10:20:00,16.27
2020-12-01 10:25:00,16.38
2020-12-01 10:30:00,16.38
2020-12-01 10:35:00,16.78
2020-12-01 10:40:00,24.23
2020-12-01 10:45:00,24.14
2020-12-01 10:50:00,24.12
2020-12-01 10:55:00,24.03
2020-12-01 11:00:00,24.07
2020-12-01 11:05:00,22.27
2020-12-01 11:10:00,24.07
2020-12-01 11:15:00,24.19
2020-12-01 11:20:00,24.02
2020-12-01 11:25:00,23.78
2020-12-01 11:30:00,19.47
2020-12-01 11:35:00,19.45
2020-12-01 11:40:00,22.04
2020-12-01 11:45:00,23.87
2020-12-01 11:50:00,24.05
2020-12-01 11:55:00,24.03
2020-12-01 12:00:00,24.14
2020-12-01 12:05:00,24.73
2020-12-01 12:10:00,24.73
2020-12-01 12:15:00,24.07
2020-12-01 12:20:00,22.02
2020-12-01 12:25:00,18.46
2020-12-01 12:30:00,16.22
2020-12-01 12:35:00,16.2
2020-12-01 12:40:00,16.17
2020-12-01 12:45:00,16.68
2020-12-01 12:50:00,18.51
2020-12-01 12:53:06,16.21
2020-12-01 12:54:42,16.24
2020-12-01 12:55:00,16.26
2020-12-01 13:00:00,16.26
2020-12-01 13:05:00,16.26
2020-12-01 13:10:00,16.2
2020-12-01 13:15:00,16.19
2020-12-01 13:20:00,16.23
2020-12-01 13:20:12,16.29
2020-12-01 13:22:12,16.79
2020-12-01 13:25:00,16.78
2020-12-01 13:30:00,16.78
2020-12-01 13:35:00,16.73
2020-12-01 13:40:00,16.71
2020-12-01 13:45:00,22.38
2020-12-01 13:50:00,24.15
2020-12-01 13:55:00,24.1
2020-12-01 14:00:00,23.61
2020-12-01 14:05:00,22.09
2020-12-01 14:10:00,22.07
2020-12-01 14:15:00,16.62
2020-12-01 14:20:00,16.63
2020-12-01 14:25:00,16.65
2020-12-01 14:30:00,23.27
2020-12-01 14:35:00,23.87
2020-12-01 14:40:00,24.03
2020-12-01 14:45:00,24.07
2020-12-01 14:50:00,24.61
2020-12-01 14:55:00,24.56
2020-12-01 15:00:00,18.46
2020-12-01 15:05:00,23.16
2020-12-01 15:10:00,25.15
2020-12-01 15:15:00,25.28
2020-12-01 15:20:00,21.98
2020-12-01 15:25:00,23.21
2020-12-01 15:30:00,23.98
2020-12-01 15:35:00,21.94
2020-12-01 15:40:00,18.57
2020-12-01 15:45:00,16.57
2020-12-01 15:50:00,16.57
2020-12-01 15:55:00,16.12
2020-12-01 16:00:00,13.01
2020-12-01 16:05:00,16.07
2020-12-01 16:10:00,21.81
2020-12-01 16:15:00,21.81
